GAME STATS
Apogee Ball vs. Mapleleaf Carpet Cleaning
4/11/26, 9:00 AM
Tournament

,1,2,Total
Apogee Ball,38,38,76
Mapleleaf Carpet Cleaning,43,41,84

VISITORS:  Apogee Ball
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brock Carpenter ,2,0,1,0%,1,2,50%,1,3,33%,0,0,0%,3,0,0,3,1,0,0,1,1,0,0,4,50%,0,0,
Dashiell Vermilya,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jeren Jeffcoat,9,5,8,63%,0,2,0%,5,10,50%,1,2,50%,11,6,3,3,4,0,0,2,4,0,0,15,50%,0,0,
Kyle Picard ,7,3,5,60%,0,4,0%,3,9,33%,0,0,0%,6,0,3,2,0,0,0,0,4,0,0,1,33%,0,0,
Luke Davis,5,1,1,100%,0,2,0%,1,3,33%,0,1,0%,2,0,0,1,0,0,0,1,3,0,0,-2,29%,0,0,
Neal Mulligan,4,1,2,50%,4,9,44%,5,11,45%,0,0,0%,14,0,0,0,3,0,0,0,2,0,0,6,63%,0,0,
Patrick Mulligan,1,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,0,0%,0,0,
Tavarius Vance ,6,4,8,50%,6,17,35%,10,25,40%,0,0,0%,26,2,4,1,0,0,0,1,2,0,0,17,52%,0,0,
Trevis Buckhanon,8,6,11,55%,0,0,0%,6,11,55%,2,6,33%,14,1,5,11,0,2,0,1,0,0,0,25,51%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,36,56%,11,37,30%,31,73,42%,3,9,33%,76,10,15,21,9,2,0,6,16,0,0,66,49%,0,0,

HOME:  Mapleleaf Carpet Cleaning
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,00,4,5,80%,0,0,0%,4,5,80%,0,0,0%,8,1,1,3,0,0,0,2,1,0,0,13,80%,0,0,
Cole Sampson,23,4,4,100%,0,1,0%,4,5,80%,0,0,0%,8,0,1,2,1,0,0,0,0,0,0,10,80%,0,0,
Hakeem Faud,11,9,17,53%,2,6,33%,11,23,48%,2,2,100%,26,5,1,3,2,0,0,4,8,0,0,19,54%,0,0,
Jack Goga Blanchard,33,4,4,100%,0,0,0%,4,4,100%,1,2,50%,9,1,3,3,2,1,0,4,1,0,0,19,92%,0,0,
Jason West,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,3,0,4,1,0,0,1,0,0,0,8,0%,0,0,
Joe Ruggles ,1,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,0,1,0,0,0,1,0,0,0,1,0%,0,0,
Matt Spear,3,3,4,75%,0,0,0%,3,4,75%,0,0,0%,6,0,2,1,2,0,0,0,0,0,0,8,75%,0,0,
Mohamed Abdirahman,2,5,9,56%,3,10,30%,8,19,42%,2,5,40%,21,3,3,2,1,0,0,1,3,0,0,13,49%,0,0,
Walker Story,7,0,0,0%,2,5,40%,2,5,40%,0,0,0%,6,3,0,4,0,0,0,1,1,0,0,10,60%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,29,43,67%,7,24,29%,36,67,54%,5,9,56%,84,17,11,23,9,1,0,14,14,0,0,101,59%,0,0,

