GAME STATS
Hammer Heads vs. Mapleleaf Carpet Cleaning
4/11/26, 1:00 PM
Tournament

,1,2,Total
Hammer Heads,45,38,83
Mapleleaf Carpet Cleaning,28,28,56

VISITORS:  Hammer Heads
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gill,4,2,2,100%,0,0,0%,2,2,100%,0,0,0%,4,2,1,2,1,0,0,0,1,0,0,8,100%,0,0,
Brendon Huestis,8,0,1,0%,1,3,33%,1,4,25%,0,0,0%,3,2,0,1,3,0,0,1,4,0,0,0,37%,0,0,
Chan Nhial,18,3,4,75%,3,8,38%,6,12,50%,0,0,0%,15,2,0,4,0,0,0,2,2,0,0,15,62%,0,0,
Dau Dau,11,5,8,63%,1,4,25%,6,12,50%,2,2,100%,15,4,2,6,0,1,0,1,2,0,0,21,58%,0,0,
Jeremy Franklin,15,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Liam Walsh,33,3,4,75%,1,1,100%,4,5,80%,0,0,0%,9,1,1,2,2,0,0,0,0,0,0,12,90%,0,0,
Ngor Nhail,0,4,5,80%,6,8,75%,10,13,77%,1,4,25%,27,2,2,7,0,0,0,1,0,0,0,33,91%,0,0,
Trent Roleau,40,1,5,20%,1,6,17%,2,11,18%,2,2,100%,7,2,2,5,1,0,0,0,1,0,0,6,29%,0,0,
Will Ewald,6,1,2,50%,0,1,0%,1,3,33%,1,1,100%,3,1,2,2,1,1,0,2,0,0,0,9,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,31,61%,13,31,42%,32,62,52%,6,9,67%,83,16,10,29,8,2,0,7,10,0,0,104,62%,0,0,

HOME:  Mapleleaf Carpet Cleaning
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,00,1,4,25%,0,0,0%,1,4,25%,0,0,0%,2,0,1,1,3,0,0,0,0,0,0,1,25%,0,0,
Cole Sampson,23,1,1,100%,0,2,0%,1,3,33%,0,0,0%,2,0,1,0,0,0,0,0,0,0,0,1,33%,0,0,
Hakeem Faud,11,6,15,40%,1,4,25%,7,19,37%,6,6,100%,21,3,0,6,2,0,0,4,3,0,0,19,48%,0,0,
Jack Goga Blanchard,33,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,1,2,1,3,0,0,0,0,0,0,5,50%,0,0,
Jason West,9,1,1,100%,0,1,0%,1,2,50%,1,2,50%,3,1,2,4,0,0,0,0,1,0,0,7,52%,0,0,
Joe Ruggles ,1,1,1,100%,1,4,25%,2,5,40%,0,0,0%,5,1,0,1,0,0,0,0,1,0,0,3,50%,0,0,
Matt Spear,3,1,1,100%,0,2,0%,1,3,33%,0,0,0%,2,2,0,1,1,0,0,0,1,0,0,2,33%,0,0,
Mohamed Abdirahman,2,4,12,33%,1,6,17%,5,18,28%,3,3,100%,14,0,3,3,2,0,0,1,1,0,0,7,36%,0,0,
Walker Story,7,1,1,100%,1,4,25%,2,5,40%,0,0,0%,5,1,0,3,1,0,0,1,1,0,0,6,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,37,46%,4,24,17%,21,61,34%,10,11,91%,56,9,9,20,12,0,0,6,8,0,0,51,42%,0,0,

