GAME STATS
Revolution vs. Hammer Heads
4/11/26, 11:00 AM
Tournament

,1,2,Total
Revolution,25,33,58
Hammer Heads,25,29,54

VISITORS:  Revolution
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,15,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,4,0,0,0,0,0,0,1,0,0,1,0%,0,0,
Deshawn Hamlet,11,7,8,88%,0,1,0%,7,9,78%,1,2,50%,15,2,1,5,3,0,0,2,1,0,0,21,75%,0,0,
Jibril Abdullahi,1,1,3,33%,1,5,20%,2,8,25%,3,4,75%,8,1,1,3,4,0,0,5,2,0,0,9,40%,0,0,
Joe Joe Dubril,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Ferris,13,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kohlby Murray,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Picard,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mahlik Franklin,3,2,6,33%,2,4,50%,4,10,40%,8,11,73%,18,1,0,3,1,0,0,3,0,0,0,16,60%,0,0,
Stefan Radan,23,2,6,33%,1,3,33%,3,9,33%,1,2,50%,8,2,1,1,3,0,0,2,0,0,0,7,40%,0,0,
Tre Grubbs,2,3,3,100%,0,2,0%,3,5,60%,3,5,60%,9,2,0,3,3,0,0,3,3,0,0,10,62%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,26,58%,4,17,24%,19,43,44%,16,24,67%,58,12,3,15,14,0,0,15,7,0,0,64,54%,0,0,

HOME:  Hammer Heads
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gill,4,0,2,0%,0,0,0%,0,2,0%,3,4,75%,3,1,1,2,3,0,0,1,3,0,0,2,39%,0,0,
Brendon Huestis,8,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,1,0,1,5,0,0,0,3,0,0,2,150%,0,0,
Chan Nhial,18,2,4,50%,1,1,100%,3,5,60%,5,6,83%,12,0,2,1,0,0,0,0,3,0,0,9,78%,0,0,
Dau Dau,11,2,8,25%,1,5,20%,3,13,23%,2,2,100%,9,1,1,3,5,0,0,0,4,0,0,0,32%,0,0,
Jeremy Franklin,15,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Liam Walsh,33,1,1,100%,2,3,67%,3,4,75%,0,0,0%,8,1,0,2,0,0,0,0,1,0,0,9,100%,0,0,
Ngor Nhail,0,4,4,100%,1,2,50%,5,6,83%,2,4,50%,13,1,2,4,1,3,0,1,4,0,0,17,83%,0,0,
Trent Roleau,40,0,0,0%,1,6,17%,1,6,17%,0,0,0%,3,0,1,7,4,0,0,0,1,0,0,5,25%,1,0,
Will Ewald,6,1,1,100%,0,2,0%,1,3,33%,1,3,33%,3,1,1,1,2,0,1,0,1,0,0,1,34%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,10,20,50%,7,20,35%,17,40,43%,13,19,68%,54,6,8,21,20,3,1,2,20,0,0,45,55%,1,0,

