GAME STATS
Revolution vs. Rolling Js
4/12/26, 3:17 PM
Tournament

,1,2,Total
Revolution,28,52,80
Rolling Js,30,37,67

VISITORS:  Revolution
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,15,6,6,100%,4,8,50%,10,14,71%,4,4,100%,28,5,1,0,0,0,0,1,3,0,0,28,88%,0,0,
Deshawn Hamlet,11,2,6,33%,1,2,50%,3,8,38%,1,2,50%,8,1,1,3,0,0,0,1,1,0,0,7,45%,0,0,
Jibril Abdullahi,1,5,8,63%,0,2,0%,5,10,50%,2,2,100%,12,6,1,5,1,0,0,2,3,0,0,18,55%,0,0,
Joe Joe Dubril,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Ferris,13,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kohlby Murray,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Picard,0,4,6,67%,0,0,0%,4,6,67%,2,5,40%,10,2,3,0,2,0,0,1,1,0,0,10,60%,0,0,
Mahlik Franklin,3,3,5,60%,1,3,33%,4,8,50%,2,4,50%,11,1,1,2,1,1,0,0,0,0,0,10,56%,0,0,
Stefan Radan,23,3,6,50%,0,2,0%,3,8,38%,1,2,50%,7,1,1,5,1,1,0,0,1,0,0,8,39%,0,0,
Tre Grubbs,2,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,2,3,2,0,0,1,1,0,0,8,66%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,40,63%,6,17,35%,31,57,54%,12,19,63%,80,16,10,18,7,2,0,6,10,0,0,89,61%,0,0,

HOME:  Rolling Js
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brody Snow,22,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Cayole ,1,5,10,50%,4,6,67%,9,16,56%,2,2,100%,24,1,1,3,3,0,0,0,1,0,0,21,71%,0,0,
Eleizer Perez,12,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,2,0,2,4,0,0,1,0,0,0,3,0%,0,0,
Jackson Dwyer,33,2,3,67%,4,7,57%,6,10,60%,2,4,50%,18,2,0,2,5,0,0,3,3,0,0,16,76%,0,0,
John Helsel,32,3,6,50%,1,1,100%,4,7,57%,2,2,100%,11,1,1,5,1,0,1,1,0,0,0,16,69%,0,0,
Kenny Black,7,3,3,100%,0,4,0%,3,7,43%,0,0,0%,6,4,2,2,1,0,0,1,3,0,0,8,42%,0,0,
Nick Lynn,10,0,2,0%,1,2,50%,1,4,25%,0,0,0%,3,0,0,0,0,0,0,0,0,0,0,0,37%,0,0,
Paully G,19,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,1,0%,0,0,
Rico Pierrevilus,5,0,0,0%,1,7,14%,1,7,14%,2,2,100%,5,4,1,4,1,1,0,2,2,0,0,9,31%,0,0,
Scottie Pearson,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,24,54%,11,29,38%,24,53,45%,8,10,80%,67,14,6,18,15,1,1,8,9,0,0,74,58%,0,0,

