GAME STATS
Revolution vs. Venom
4/11/26, 2:00 PM
Tournament

,1,2,Total
Revolution,44,40,84
Venom,26,34,60

VISITORS:  Revolution
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,15,2,3,67%,6,9,67%,8,12,67%,3,3,100%,25,4,0,2,0,0,0,1,0,0,0,28,93%,0,0,
Deshawn Hamlet,11,4,10,40%,0,2,0%,4,12,33%,2,2,100%,10,1,2,4,3,0,0,1,1,0,0,9,38%,0,0,
Jibril Abdullahi,1,2,4,50%,2,6,33%,4,10,40%,3,3,100%,13,8,0,9,4,0,0,6,2,0,0,28,57%,0,0,
Joe Joe Dubril,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Ferris,13,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kohlby Murray,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Picard,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mahlik Franklin,3,5,8,63%,1,4,25%,6,12,50%,1,3,33%,14,3,1,3,3,0,0,0,0,0,0,13,52%,0,0,
Stefan Radan,23,3,3,100%,3,3,100%,6,6,100%,1,2,50%,16,0,3,1,2,2,0,0,0,0,0,21,116%,0,0,
Tre Grubbs,2,2,4,50%,0,3,0%,2,7,29%,2,2,100%,6,1,0,2,3,0,0,2,3,0,0,3,38%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,32,56%,12,27,44%,30,59,51%,12,15,80%,84,17,6,21,15,2,0,10,6,0,0,102,64%,0,0,

HOME:  Venom
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Asko Mostarlic,5,5,8,63%,0,4,0%,5,12,42%,0,0,0%,10,1,6,4,4,0,0,2,3,0,0,13,41%,0,1,
Benny Montenegro,11,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,0,0,0,2,0,0,0,2,0,0,-1,50%,0,0,
Brandon Pratico,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Dylan Pratico,3,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,1,1,2,3,0,0,1,1,0,0,2,0%,0,0,
Finn Mitchell,44,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kevin Garrison,21,5,8,63%,5,15,33%,10,23,43%,5,6,83%,30,1,1,9,1,0,0,2,2,0,0,27,58%,0,0,
Kyle Decoaster,15,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,1,1,0,0,0,0,0,0,0,0,4,100%,0,0,
Matt Riordan,1,1,3,33%,0,2,0%,1,5,20%,1,3,33%,3,1,2,3,2,1,0,0,0,0,0,4,23%,0,0,
Zaire Wilson,2,6,11,55%,0,3,0%,6,14,43%,0,1,0%,12,0,3,5,0,0,1,0,2,0,0,9,41%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,33,55%,6,27,22%,24,60,40%,6,10,60%,60,5,14,23,12,1,1,5,10,0,0,58,46%,0,1,

