GAME STATS
Rolling Js vs. Rev'd Up
4/11/26, 10:00 AM
Tournament

,1,2,Total
Rolling Js,37,40,77
Rev'd Up,32,37,69

VISITORS:  Rolling Js
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brody Snow,22,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Cayole ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Eleizer Perez,12,3,5,60%,1,1,100%,4,6,67%,4,6,67%,13,6,1,6,3,0,0,2,2,0,0,22,75%,0,0,
Jackson Dwyer,33,5,6,83%,1,4,25%,6,10,60%,10,13,77%,23,1,0,7,3,0,0,1,5,0,0,20,73%,0,0,
John Helsel,32,10,20,50%,2,4,50%,12,24,50%,2,5,40%,28,2,6,5,1,0,0,2,1,0,0,27,53%,0,0,
Kenny Black,7,4,7,57%,0,2,0%,4,9,44%,1,2,50%,9,1,3,4,0,1,0,3,2,0,0,13,45%,0,0,
Nick Lynn,10,2,4,50%,0,1,0%,2,5,40%,0,0,0%,4,2,1,3,0,0,0,0,0,0,0,7,40%,0,0,
Paully G,19,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,0,0,0,0,1,0,0,0,0%,0,0,
Rico Pierrevilus,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Scottie Pearson,6,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,1,0,0,3,0,0,0,0,0,0,0,0%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,42,57%,4,13,31%,28,55,51%,17,26,65%,77,14,11,25,10,1,0,8,11,0,0,89,57%,0,1,

HOME:  Rev'd Up
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Bouge,24,2,3,67%,1,2,50%,3,5,60%,0,0,0%,7,2,0,3,3,0,0,1,0,0,0,11,70%,0,0,
Cory Chaplin,2,2,2,100%,1,6,17%,3,8,38%,0,0,0%,7,7,1,2,1,0,1,2,2,0,0,12,43%,1,1,
John Billado,17,1,3,33%,3,6,50%,4,9,44%,0,0,0%,11,4,0,4,4,0,0,0,0,0,0,14,61%,0,0,
Kaleb Swetty,77,6,10,60%,1,6,17%,7,16,44%,2,4,50%,17,2,0,4,2,0,0,2,2,0,0,12,47%,0,1,
Lance Bergman,1,1,3,33%,3,4,75%,4,7,57%,0,0,0%,11,2,2,5,5,2,0,3,3,0,0,19,78%,0,0,
Logan Hogaboom,11,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Galiszka,3,5,6,83%,1,6,17%,6,12,50%,3,3,100%,16,0,0,2,3,0,0,0,3,0,0,9,60%,0,0,
Tim Lemiexu,23,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tristen Kunze,6,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,1,0,0,1,0,0,0,2,0,0,-2,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,27,63%,10,31,32%,27,58,47%,5,7,71%,69,18,3,20,19,2,1,8,12,0,0,75,56%,1,2,

