GAME STATS
Rolling Js vs. Rev'd Up
4/12/26, 10:00 AM
Regular Season

,1,2,Total
Rolling Js,32,39,71
Rev'd Up,22,27,49

VISITORS:  Rolling Js
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brody Snow,22,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Cayole ,1,11,15,73%,0,6,0%,11,21,52%,5,5,100%,27,1,6,10,1,0,0,0,1,0,0,33,58%,0,1,
Eleizer Perez,12,0,3,0%,0,0,0%,0,3,0%,0,0,0%,0,2,2,1,1,0,0,2,2,0,0,2,0%,0,0,
Jackson Dwyer,33,1,6,17%,4,11,36%,5,17,29%,2,3,67%,16,2,4,4,0,2,0,1,0,0,0,16,43%,0,0,
John Helsel,32,3,9,33%,0,4,0%,3,13,23%,1,2,50%,7,6,2,5,1,0,0,0,0,0,0,9,25%,0,0,
Kenny Black,7,1,1,100%,0,1,0%,1,2,50%,1,2,50%,3,2,1,4,1,1,0,1,2,0,0,8,52%,0,0,
Nick Lynn,10,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,2,2,4,0,0,0,0,1,0,0,8,50%,0,0,
Paully G,19,1,1,100%,1,2,50%,2,3,67%,0,0,0%,5,2,0,1,0,0,0,0,0,0,0,7,83%,0,0,
Rico Pierrevilus,5,1,1,100%,3,8,38%,4,9,44%,0,0,0%,11,2,0,3,1,1,0,0,1,0,0,11,61%,0,0,
Scottie Pearson,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,38,50%,8,32,25%,27,70,39%,9,12,75%,71,19,17,32,5,4,0,4,7,0,0,94,47%,0,1,

HOME:  Rev'd Up
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Bouge,24,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,1,1,5,1,0,0,1,0,0,0,6,0%,0,0,
Cory Chaplin,2,2,5,40%,2,12,17%,4,17,24%,0,0,0%,10,2,1,2,0,0,0,1,2,0,0,1,29%,0,0,
John Billado,17,0,0,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0,3,3,0,0,0,0,0,0,-1,0%,0,0,
Kaleb Swetty,77,6,12,50%,1,5,20%,7,17,41%,2,2,100%,17,1,0,3,1,0,0,0,3,0,0,8,47%,0,0,
Lance Bergman,1,4,6,67%,0,5,0%,4,11,36%,2,4,50%,10,3,1,4,1,0,0,2,0,0,0,11,39%,0,0,
Logan Hogaboom,11,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Galiszka,3,1,1,100%,1,2,50%,2,3,67%,2,2,100%,7,1,0,3,0,1,0,2,2,0,0,11,90%,0,0,
Tim Lemiexu,23,1,3,33%,0,1,0%,1,4,25%,0,0,0%,2,1,2,3,2,0,0,0,1,0,0,4,25%,0,0,
Tristen Kunze,6,0,1,0%,1,1,100%,1,2,50%,0,0,0%,3,0,0,0,0,0,0,0,0,0,0,2,75%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,29,48%,5,31,16%,19,60,32%,6,8,75%,49,9,5,23,8,1,0,6,8,0,0,42,38%,0,0,

