GAME STATS
Sea Cougars vs. Rev'd Up
4/11/26, 8:00 AM
Tournament

,1,2,Total
Sea Cougars,40,24,64
Rev'd Up,34,36,70

VISITORS:  Sea Cougars
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Bela Dobkowaki,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,5,0,0,0,0,0,0,0,5,0%,0,0,
Braeden Elnicki,00,1,4,25%,4,11,36%,5,15,33%,0,0,0%,14,2,0,1,0,0,0,0,0,0,0,7,46%,0,0,
Cam Perta,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,0,0,0,2,0,0,0,3,0%,0,0,
Drew Pelkey,0,0,1,0%,0,2,0%,0,3,0%,1,2,50%,1,1,2,3,0,0,0,0,0,0,0,3,12%,0,0,
Eiljah Tucker Bryant,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jake Mcdonough,3,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,3,3,4,1,1,2,0,0,0,8,0%,0,0,
Jason Gasana,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Kelly,6,3,4,75%,1,5,20%,4,9,44%,2,2,100%,11,1,1,2,0,0,0,1,1,0,0,10,55%,0,0,
Logan Letourneau,5,3,5,60%,2,4,50%,5,9,56%,0,0,0%,12,0,0,7,1,0,0,2,3,0,0,14,66%,0,0,
Q Floyd,2,7,14,50%,4,11,36%,11,25,44%,0,0,0%,26,2,0,4,2,1,0,2,1,0,0,20,52%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,28,50%,11,35,31%,25,63,40%,3,4,75%,64,8,6,25,7,2,1,9,5,0,0,70,49%,0,0,

HOME:  Rev'd Up
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Bouge,24,2,4,50%,0,2,0%,2,6,33%,0,0,0%,4,2,2,7,0,0,0,0,1,0,0,10,33%,0,0,
Cory Chaplin,2,2,5,40%,2,6,33%,4,11,36%,1,2,50%,11,6,1,9,0,0,0,0,1,0,0,18,46%,0,0,
John Billado,17,0,0,0%,5,9,56%,5,9,56%,0,0,0%,15,1,1,3,1,0,0,0,0,0,0,16,83%,0,0,
Kaleb Swetty,77,4,10,40%,4,6,67%,8,16,50%,0,0,0%,20,3,4,2,0,0,0,2,3,0,0,20,62%,0,0,
Lance Bergman,1,3,8,38%,2,5,40%,5,13,38%,1,2,50%,13,1,0,4,2,0,0,0,2,0,0,7,46%,0,0,
Logan Hogaboom,11,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Galiszka,3,0,4,0%,1,1,100%,1,5,20%,0,0,0%,3,1,0,2,1,0,1,0,0,0,0,2,30%,0,0,
Tim Lemiexu,23,2,2,100%,0,2,0%,2,4,50%,0,0,0%,4,0,0,3,1,0,0,0,2,0,0,3,50%,0,0,
Tristen Kunze,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,2,0,0,0,2,0,0,-1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,33,39%,14,31,45%,27,64,42%,2,4,50%,70,15,8,30,7,0,1,2,11,0,0,75,53%,0,0,

