GAME STATS
Squirty Spartans  vs. Rolling Js
4/12/26, 12:56 PM
Tournament

,1,2,OT1,OT2,Total
Squirty Spartans ,23,32,6,0,61
Rolling Js,34,21,6,10,71

VISITORS:  Squirty Spartans 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Azariah Hungerford,4,1,5,20%,1,3,33%,2,8,25%,0,0,0%,5,2,2,0,3,0,0,1,2,0,0,2,31%,0,0,
Brendan Moodie,7,1,1,100%,1,2,50%,2,3,67%,0,0,0%,5,0,0,0,1,0,0,1,0,0,0,5,83%,0,0,
Caleb Dsouza,11,3,5,60%,0,2,0%,3,7,43%,2,4,50%,8,0,0,1,5,0,0,1,1,0,0,3,45%,0,0,
Ethan Lussier,10,2,2,100%,0,2,0%,2,4,50%,0,0,0%,4,0,2,2,3,0,0,1,1,0,0,6,50%,0,0,
Haiden Chilafoux,1,1,4,25%,1,5,20%,2,9,22%,5,6,83%,10,0,1,3,5,0,0,0,1,0,0,5,42%,0,0,
Hayden Lutz,0,1,2,50%,1,2,50%,2,4,50%,0,1,0%,5,1,1,1,2,0,0,0,0,0,0,5,56%,1,0,
Jackson Doyle,9,1,3,33%,4,9,44%,5,12,42%,0,0,0%,14,0,1,1,0,0,0,1,1,0,0,9,58%,0,0,
Jerrick Jacobs ,2,1,2,50%,2,7,29%,3,9,33%,2,6,33%,10,3,2,1,0,0,0,1,0,0,0,7,42%,0,0,
Reid Myers,6,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,-1,0%,0,0,
Will Steinhour,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,24,46%,10,33,30%,21,57,37%,9,17,53%,61,6,9,9,20,0,0,6,6,0,0,41,47%,1,0,

HOME:  Rolling Js
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brody Snow,22,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Cayole ,1,5,12,42%,0,3,0%,5,15,33%,12,14,86%,22,2,4,4,3,0,0,0,1,0,0,19,51%,0,0,
Eleizer Perez,12,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,5,0,2,3,1,0,1,1,0,0,6,0%,0,0,
Jackson Dwyer,33,2,5,40%,0,0,0%,2,5,40%,3,4,75%,7,4,3,3,3,0,0,0,2,0,0,11,51%,0,0,
John Helsel,32,3,6,50%,0,0,0%,3,6,50%,3,5,60%,9,1,5,0,0,0,0,0,4,0,0,6,54%,0,0,
Kenny Black,7,2,2,100%,0,1,0%,2,3,67%,0,0,0%,4,1,0,3,2,0,0,0,2,0,0,5,66%,0,0,
Nick Lynn,10,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,0,1,2,1,0,0,0,0,0,1,0%,0,0,
Paully G,19,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,0,0,0,1,0,0,0,0,0,0,3,150%,0,0,
Rico Pierrevilus,5,8,9,89%,2,7,29%,10,16,63%,4,5,80%,26,1,1,10,2,3,0,1,3,0,0,32,71%,0,0,
Scottie Pearson,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,36,56%,3,14,21%,23,50,46%,22,28,79%,71,15,13,23,16,5,0,2,13,0,0,83,56%,0,0,

