GAME STATS
Venom vs. Apogee Ball
4/11/26, 12:00 PM
Tournament

,1,2,Total
Venom,23,47,70
Apogee Ball,28,34,62

VISITORS:  Venom
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Asko Mostarlic,5,0,4,0%,1,8,13%,1,12,8%,0,0,0%,3,1,1,7,3,2,0,4,3,0,0,4,12%,1,0,
Benny Montenegro,11,0,0,0%,0,7,0%,0,7,0%,0,0,0%,0,2,1,3,0,0,0,0,1,0,0,-2,0%,0,0,
Brandon Pratico,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,1,0,0,0,1,0,0,0,3,0%,0,0,
Dylan Pratico,3,0,0,0%,1,2,50%,1,2,50%,0,0,0%,3,0,0,1,1,0,0,1,0,0,0,4,75%,0,0,
Finn Mitchell,44,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kevin Garrison,21,7,11,64%,3,5,60%,10,16,63%,5,6,83%,28,0,2,6,2,0,0,3,3,0,0,29,75%,0,0,
Kyle Decoaster,15,2,4,50%,0,0,0%,2,4,50%,1,2,50%,5,1,1,1,1,0,0,0,2,0,0,3,51%,0,0,
Matt Riordan,1,3,4,75%,2,2,100%,5,6,83%,2,2,100%,14,1,0,2,4,1,0,0,2,0,0,15,101%,0,0,
Zaire Wilson,2,6,10,60%,1,2,50%,7,12,58%,2,3,67%,17,1,1,6,1,0,0,0,1,0,0,18,63%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,33,55%,8,26,31%,26,59,44%,10,13,77%,70,6,7,27,12,3,0,9,12,0,0,74,54%,1,1,

HOME:  Apogee Ball
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brock Carpenter ,2,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,0,0,2,2,0,0,0,0,0,0,3,50%,0,0,
Dashiell Vermilya,0,1,1,100%,2,4,50%,3,5,60%,0,0,0%,8,1,0,3,2,0,0,4,1,0,0,13,80%,0,0,
Jeren Jeffcoat,9,5,10,50%,2,5,40%,7,15,47%,2,2,100%,18,2,1,2,4,0,0,0,2,0,0,13,56%,1,0,
Kyle Picard ,7,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,0,0,1,0,0,0,0,1,0,0,-2,0%,0,0,
Luke Davis,5,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,0,1,1,0,0,0,1,2,0,0,-2,0%,0,0,
Neal Mulligan,4,1,3,33%,2,5,40%,3,8,38%,0,0,0%,8,2,1,0,1,0,0,1,0,0,0,7,50%,0,1,
Patrick Mulligan,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tavarius Vance ,6,0,5,0%,1,6,17%,1,11,9%,3,4,75%,6,4,2,4,3,0,0,1,1,0,0,5,23%,0,0,
Trevis Buckhanon,8,10,16,63%,0,0,0%,10,16,63%,0,1,0%,20,0,4,9,2,1,1,0,2,0,0,25,60%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,39,46%,7,23,30%,25,62,40%,5,7,71%,62,9,9,22,14,1,1,7,9,0,0,62,47%,1,1,

