GAME STATS
Venom vs. Hammer Heads
4/12/26, 9:00 AM
Tournament

,1,2,Total
Venom,30,35,65
Hammer Heads,27,21,48

VISITORS:  Venom
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Asko Mostarlic,5,1,3,33%,2,7,29%,3,10,30%,2,2,100%,10,1,0,7,1,0,0,0,1,0,0,10,45%,0,0,
Benny Montenegro,11,0,1,0%,3,7,43%,3,8,38%,3,3,100%,12,2,0,4,1,0,0,0,0,0,0,13,64%,0,0,
Brandon Pratico,4,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,1,0,0,2,0,0,0,0,0,0,0,0%,0,0,
Dylan Pratico,3,0,0,0%,2,3,67%,2,3,67%,0,0,0%,6,1,0,1,2,0,0,0,0,0,0,7,100%,0,0,
Finn Mitchell,44,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kevin Garrison,21,3,5,60%,4,6,67%,7,11,64%,0,0,0%,18,6,0,10,1,1,0,3,2,0,0,32,81%,0,0,
Kyle Decoaster,15,2,2,100%,0,0,0%,2,2,100%,1,1,100%,5,0,0,1,0,0,0,0,0,0,0,6,102%,0,0,
Matt Riordan,1,3,5,60%,0,2,0%,3,7,43%,3,5,60%,9,2,2,1,2,0,0,1,1,0,0,8,48%,0,0,
Zaire Wilson,2,2,9,22%,0,3,0%,2,12,17%,1,3,33%,5,2,1,2,1,1,0,2,0,0,0,1,18%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,25,44%,11,29,38%,22,54,41%,10,14,71%,65,15,3,26,10,2,0,6,4,0,0,77,54%,0,0,

HOME:  Hammer Heads
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gill,4,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,5,1,0,0,1,2,0,0,3,0%,0,0,
Brendon Huestis,8,2,6,33%,0,8,0%,2,14,14%,0,0,0%,4,0,1,3,2,1,0,0,2,0,0,-5,14%,0,0,
Chan Nhial,18,4,5,80%,1,4,25%,5,9,56%,0,0,0%,11,0,4,1,2,0,0,0,0,0,0,12,61%,0,0,
Dau Dau,11,1,1,100%,0,3,0%,1,4,25%,1,1,100%,3,0,0,3,1,0,0,0,1,0,0,2,33%,0,0,
Jeremy Franklin,15,0,2,0%,0,3,0%,0,5,0%,1,2,50%,1,3,0,2,2,0,0,0,2,0,0,-2,8%,0,0,
Liam Walsh,33,2,3,67%,1,5,20%,3,8,38%,0,0,0%,7,0,2,3,3,0,0,0,1,0,0,6,43%,0,0,
Ngor Nhail,0,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,0,1,1,0,1,0,0,0,0,0,5,100%,0,0,
Trent Roleau,40,4,5,80%,1,3,33%,5,8,63%,5,6,83%,16,1,1,4,1,0,0,1,2,0,0,17,75%,0,0,
Will Ewald,6,0,5,0%,1,9,11%,1,14,7%,1,1,100%,4,1,7,7,2,0,0,1,0,0,0,7,13%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,29,48%,4,35,11%,18,64,28%,8,10,80%,48,5,16,29,14,2,0,3,10,0,0,45,35%,0,0,

