GAME STATS
Revv'd Up vs. Underdogs
5/23/26, 9:00 AM
Tournament

,1,2,Total
Revv'd Up,42,43,85
Underdogs,26,35,61

VISITORS:  Revv'd Up
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Boyer,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Garrett Darrah,23,4,7,57%,0,1,0%,4,8,50%,1,3,33%,9,1,7,6,0,0,0,0,0,0,0,17,48%,0,0,
Hayden Lutz,3,3,7,43%,1,6,17%,4,13,31%,0,0,0%,9,4,0,1,1,1,0,0,1,0,0,5,34%,0,0,
Jonathan Billado,17,0,0,0%,1,4,25%,1,4,25%,0,0,0%,3,2,1,5,2,1,0,0,1,0,0,8,37%,0,1,
Lance Bergman,11,7,9,78%,0,1,0%,7,10,70%,2,2,100%,16,5,6,6,2,2,0,2,2,0,0,32,73%,0,1,
Luke Bergman,1,1,2,50%,1,4,25%,2,6,33%,0,0,0%,5,1,0,3,0,0,0,0,1,0,0,4,41%,0,0,
Nathan Luong,77,1,3,33%,2,4,50%,3,7,43%,2,2,100%,10,0,0,2,3,0,0,0,1,0,0,7,63%,0,0,
Tyler Bergman,2,7,12,58%,6,12,50%,13,24,54%,1,2,50%,33,0,2,5,4,0,0,4,0,0,0,32,66%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,23,40,58%,11,32,34%,34,72,47%,6,9,67%,85,13,16,28,12,4,0,6,6,0,0,105,55%,0,2,

HOME:  Underdogs
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Bogue,2,5,7,71%,2,5,40%,7,12,58%,0,0,0%,16,5,4,6,0,1,0,0,2,0,0,25,66%,0,0,
Colby Young,9,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,2,0,0,0,0,0,0,0,1,0%,0,1,
Drew Theberge,1,1,3,33%,1,2,50%,2,5,40%,0,0,0%,5,0,0,2,3,0,0,1,1,0,0,4,50%,0,0,
Ethan Morris,5,3,8,38%,1,4,25%,4,12,33%,1,1,100%,10,0,1,5,1,0,0,1,0,0,0,9,40%,0,0,
Evan Jones,0,2,2,100%,3,6,50%,5,8,63%,0,0,0%,13,0,2,3,2,0,0,1,2,0,0,14,81%,0,0,
Nick Galuszka,8,4,8,50%,1,9,11%,5,17,29%,0,0,0%,11,2,0,2,1,0,0,1,3,0,0,1,32%,1,1,
Tim Ashley,6,2,6,33%,0,3,0%,2,9,22%,2,2,100%,6,1,3,2,1,0,0,0,0,0,0,5,30%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,34,50%,8,30,27%,25,64,39%,3,3,100%,61,8,10,22,8,1,0,4,8,0,0,59,46%,1,2,

