GAME STATS
Spartans vs. Underdogs
5/23/26, 11:00 AM
Tournament

,1,2,Total
Spartans,30,43,73
Underdogs,35,42,77

VISITORS:  Spartans
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andrew Lewis,5,7,11,64%,2,2,100%,9,13,69%,2,2,100%,22,0,6,4,4,0,0,0,0,0,0,28,79%,0,0,
Brandon Bigelow,4,2,4,50%,1,2,50%,3,6,50%,0,0,0%,7,3,1,1,0,0,0,2,1,0,0,10,58%,0,0,
Brody Snow,2,5,8,63%,0,1,0%,5,9,56%,3,5,60%,13,4,3,5,1,2,0,3,2,0,0,22,58%,0,0,
Devin Bradford,9,4,9,44%,0,4,0%,4,13,31%,1,2,50%,9,1,3,7,2,0,0,0,1,0,0,9,32%,0,0,
Dylan Bradford,1,2,6,33%,0,5,0%,2,11,18%,1,2,50%,5,0,1,6,0,0,0,0,1,0,0,1,21%,0,0,
Kolby Bradford,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Wyatt Messier,7,8,12,67%,0,5,0%,8,17,47%,1,2,50%,17,0,1,6,2,2,0,1,0,0,0,17,47%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,28,50,56%,3,19,16%,31,69,45%,8,13,62%,73,8,15,29,9,4,0,6,5,0,0,87,48%,0,1,

HOME:  Underdogs
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Bogue,2,4,12,33%,3,5,60%,7,17,41%,0,0,0%,17,1,6,5,0,0,0,2,0,0,0,21,50%,0,0,
Colby Young,9,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,0,0,0,0,0,0,0,0,0,0,1,50%,0,0,
Drew Theberge,1,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,1,0,1,5,0,0,0,0,0,0,3,50%,1,0,
Ethan Morris,5,7,11,64%,1,5,20%,8,16,50%,2,2,100%,19,2,2,3,0,1,0,0,2,0,0,17,56%,0,0,
Evan Jones,0,2,2,100%,2,4,50%,4,6,67%,0,0,0%,10,1,1,3,1,0,0,0,2,0,0,11,83%,0,0,
Nick Galuszka,8,6,10,60%,2,5,40%,8,15,53%,0,1,0%,18,5,1,5,1,0,0,3,0,0,0,24,58%,0,0,
Tim Ashley,6,1,2,50%,2,8,25%,3,10,30%,1,2,50%,9,2,1,3,2,1,0,0,0,0,0,8,41%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,41,54%,10,27,37%,32,68,47%,3,5,60%,77,12,11,20,9,2,0,5,4,0,0,85,54%,1,0,

