GAME STATS
BLACK vs. PINK
3/29/26, 11:00 AM
Regular Season

,1,2,Total
BLACK,37,41,78
PINK,32,29,61

VISITORS:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,0,0,0,1,0,0,0,1,0,0,-3,0%,0,0,
Chris Cayole ,0,6,9,67%,6,12,50%,12,21,57%,3,3,100%,33,1,1,9,2,0,0,1,2,0,0,34,73%,0,0,
Cyle Chappy,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Dennis Schutt,1,2,4,50%,0,1,0%,2,5,40%,0,0,0%,4,0,1,12,2,0,0,0,1,0,0,13,40%,0,0,
Kenny Black ,8,1,6,17%,1,4,25%,2,10,20%,1,2,50%,6,3,4,4,1,0,0,0,0,0,0,8,27%,0,0,
Nate Merrill ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,1,0,0,-1,0%,0,0,
Stefan Radan ,7,8,13,62%,4,10,40%,12,23,52%,4,5,80%,32,2,3,4,5,0,0,1,0,0,0,30,63%,0,0,
Tanner Freeman ,3,0,1,0%,1,4,25%,1,5,20%,0,0,0%,3,8,0,1,2,0,0,1,1,0,0,8,30%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,34,50%,12,32,38%,29,66,44%,8,10,80%,78,14,9,30,15,0,0,3,6,0,0,89,55%,0,0,

HOME:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,2,2,100%,0,2,0%,2,4,50%,0,0,0%,4,0,4,2,0,0,0,0,1,0,0,7,50%,0,0,
Cody Jarvis ,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Edo Semic ,5,0,1,0%,1,4,25%,1,5,20%,1,2,50%,4,0,0,2,0,0,0,0,1,0,0,0,34%,0,0,
Jack Lloyd ,7,0,3,0%,1,2,50%,1,5,20%,1,2,50%,4,0,2,2,1,1,0,0,0,0,0,4,34%,0,0,
Kyle Haley,8,4,7,57%,2,13,15%,6,20,30%,7,11,64%,21,1,2,3,2,0,0,1,1,0,0,9,42%,0,0,
Liam Walsh ,3,3,8,38%,0,2,0%,3,10,30%,4,6,67%,10,0,5,7,2,0,0,0,1,0,0,12,39%,0,0,
Max Taylor ,4,1,2,50%,0,1,0%,1,3,33%,2,2,100%,4,1,1,1,2,0,0,0,2,0,0,3,51%,0,0,
Tyrone Conley,1,2,6,33%,2,5,40%,4,11,36%,4,6,67%,14,1,4,7,2,1,0,3,2,0,0,19,51%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,29,41%,6,29,21%,18,58,31%,19,29,66%,61,3,18,24,9,2,0,4,8,0,0,54,43%,0,1,

