GAME STATS
GREEN vs. RED
3/29/26, 12:00 PM
Regular Season

,1,2,Total
GREEN,34,41,75
RED,30,25,55

VISITORS:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andre Mckenzie,5,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,0,0,3,2,0,0,0,0,0,0,1,0%,0,0,
Andy Bousono,0,3,4,75%,0,3,0%,3,7,43%,3,5,60%,9,6,1,2,0,0,0,0,1,0,0,11,48%,0,0,
Asko Mostarlic,7,1,4,25%,7,13,54%,8,17,47%,1,3,33%,24,2,2,9,1,0,0,0,0,0,0,26,65%,0,1,
Jaren Jeffcoat,2,2,6,33%,0,0,0%,2,6,33%,0,2,0%,4,2,2,3,3,1,0,2,2,0,0,6,29%,0,0,
Jerrick Jacobs,1,1,4,25%,1,5,20%,2,9,22%,0,0,0%,5,0,0,0,0,0,0,1,0,0,0,-1,27%,0,0,
Kerry Lyons,8,3,5,60%,1,2,50%,4,7,57%,2,5,40%,11,0,2,7,1,0,0,0,0,0,0,14,59%,0,0,
Mahlik Franklin,3,8,10,80%,1,4,25%,9,14,64%,3,5,60%,22,5,2,4,1,1,0,1,0,0,0,28,67%,0,0,
Ty Grizzly Gray,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,35,51%,10,27,37%,28,62,45%,9,20,45%,75,15,9,28,8,2,0,4,3,0,0,85,52%,0,1,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,2,2,100%,0,0,0%,2,2,100%,0,0,0%,4,1,2,5,2,0,0,1,1,0,0,12,100%,0,0,
Emin Kekic ,4,2,4,50%,0,1,0%,2,5,40%,0,0,0%,4,0,0,1,2,0,0,0,0,0,0,2,40%,0,0,
Jibeil Abdullahi,8,6,15,40%,1,8,13%,7,23,30%,5,8,63%,20,1,0,5,4,0,0,0,3,0,0,4,37%,0,0,
Josh Carter,7,5,7,71%,0,1,0%,5,8,63%,2,2,100%,12,0,1,2,3,0,0,2,0,0,0,14,67%,0,0,
Kolby Bradford,3,0,4,0%,1,5,20%,1,9,11%,0,0,0%,3,0,1,3,1,0,0,0,1,0,0,-2,16%,0,0,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,2,0,0,0,0,1,0,0,2,0%,0,0,
Logan Tobin,2,5,8,63%,0,2,0%,5,10,50%,0,0,0%,10,0,0,2,2,0,0,0,1,0,0,6,50%,0,0,
Will Ewald,5,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,0,3,3,1,0,0,0,2,0,0,4,33%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,42,50%,2,18,11%,23,60,38%,7,10,70%,55,2,8,23,15,0,0,3,9,0,0,42,42%,0,0,

