GAME STATS
TAN vs. YELLOW
3/29/26, 8:00 AM
Regular Season

,1,2,Total
TAN,37,50,87
YELLOW,38,46,84

VISITORS:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,2,5,40%,1,4,25%,3,9,33%,1,1,100%,8,4,2,4,0,0,0,1,2,0,0,11,42%,0,0,
Brody Snow,2,4,5,80%,1,5,20%,5,10,50%,1,1,100%,12,1,1,1,1,0,0,0,0,0,0,10,57%,0,0,
Cory Chaplin ,1,2,2,100%,1,4,25%,3,6,50%,0,0,0%,7,3,1,1,1,0,0,2,2,0,0,9,58%,0,0,
Devin Bradford ,0,2,3,67%,0,2,0%,2,5,40%,1,2,50%,5,6,2,5,1,0,0,0,2,0,0,12,42%,0,0,
Hakeem Faud ,7,18,32,56%,1,1,100%,19,33,58%,1,1,100%,40,7,2,13,3,0,0,4,3,0,0,49,59%,0,0,
Jeremy Franklin ,5,2,2,100%,1,8,13%,3,10,30%,1,2,50%,8,0,1,4,3,0,0,1,2,0,0,4,36%,0,0,
Kyle Picard,8,3,3,100%,0,1,0%,3,4,75%,1,2,50%,7,0,1,3,2,0,0,2,0,0,0,11,71%,0,0,
Logan Pelchar,3,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,1,0,0,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,33,53,62%,5,25,20%,38,78,49%,6,9,67%,87,22,11,31,11,0,0,10,11,0,0,107,53%,0,0,

HOME:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,1,3,33%,8,15,53%,9,18,50%,0,0,0%,26,2,1,6,2,0,0,2,1,0,0,27,72%,0,0,
Bela Dobkowski,3,1,5,20%,0,0,0%,1,5,20%,2,2,100%,4,0,2,2,1,0,0,0,0,0,0,4,34%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,0,0,0%,3,9,33%,3,9,33%,0,0,0%,9,4,0,3,1,0,0,1,1,0,0,10,50%,0,0,
Drew Pelkey,8,8,11,73%,2,10,20%,10,21,48%,1,3,33%,23,2,5,6,2,0,0,0,4,0,0,19,51%,0,0,
Dylan Mackie,5,0,2,0%,0,2,0%,0,4,0%,1,2,50%,1,4,1,3,0,0,0,1,4,0,0,1,10%,0,0,
Graden Conger,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Strickland,2,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,2,1,1,0,0,1,0,0,0,7,66%,0,0,
Logan Letourneau,4,4,5,80%,2,13,15%,6,18,33%,3,3,100%,17,3,1,3,1,0,0,2,3,0,0,11,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,29,55%,15,49,31%,31,78,40%,7,10,70%,84,15,12,24,8,0,0,7,13,0,0,79,50%,0,0,

