GAME STATS
Red vs. Purple
9/6/26, 10:00 AM
Playoffs

,1,2,Total
Red,16,35,51
Purple,29,27,56

VISITORS:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,2,8,25%,2,6,33%,4,14,29%,1,2,50%,11,0,2,5,1,0,0,1,3,0,0,5,36%,0,0,
Jaren Jeffcoat,3,3,11,27%,2,6,33%,5,17,29%,4,4,100%,16,4,5,8,4,0,0,0,3,0,0,18,42%,0,0,
Jason West,5,0,3,0%,1,3,33%,1,6,17%,0,0,0%,3,0,1,1,1,0,0,0,0,0,0,0,25%,0,0,
Joel McMahon,7,0,2,0%,0,2,0%,0,4,0%,0,0,0%,0,0,1,4,1,0,0,0,0,0,0,1,0%,0,1,
Suave,0,2,5,40%,1,4,25%,3,9,33%,0,4,0%,7,1,1,0,2,0,0,1,1,0,0,-1,32%,1,0,
Sub Cole,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,2,2,1,1,0,0,0,0,0,0,4,25%,0,0,
Timmy Ashley,6,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,0,1,2,2,0,0,0,0,0,0,0,0%,0,0,
Will Oboh,2,4,10,40%,1,1,100%,5,11,45%,1,1,100%,12,2,3,4,3,0,0,2,4,0,0,13,52%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,42,29%,7,26,27%,19,68,28%,6,11,55%,51,9,16,25,15,0,0,4,11,0,0,40,35%,1,1,

HOME:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,1,1,100%,1,6,17%,2,7,29%,0,0,0%,5,0,0,1,3,0,0,1,1,0,0,1,35%,0,1,
Brody Snow,4,3,5,60%,1,5,20%,4,10,40%,2,2,100%,11,1,1,8,2,0,0,0,3,0,0,12,50%,0,0,
Dennis Schut,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Fisher,2,2,3,67%,0,1,0%,2,4,50%,0,0,0%,4,1,0,4,0,0,0,0,0,0,0,7,50%,0,0,
Dylan Pratico,1,1,1,100%,2,4,50%,3,5,60%,0,0,0%,8,4,2,0,1,0,0,5,5,0,0,12,80%,0,0,
Ethan Calle,6,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,0,2,1,1,0,0,1,0,0,0,2,0%,0,0,
Kevin Garrison,0,7,13,54%,1,8,13%,8,21,38%,11,15,73%,28,6,2,15,2,2,0,4,2,0,0,38,50%,0,0,
Logan Pelchar,3,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,2,0,0,0,0,0,0,0,1,0%,0,0,
Sub Casey,00,0,3,0%,0,0,0%,0,3,0%,0,0,0%,0,0,1,0,1,1,0,1,0,0,0,0,0%,0,0,
Sub Joe,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,28,50%,5,25,20%,19,53,36%,13,17,76%,56,12,8,31,10,3,0,12,11,0,0,73,46%,0,1,

