GAME STATS
Blue vs. Grey
9/6/26, 9:00 AM
Playoffs

,1,2,Total
Blue,41,30,71
Grey,40,26,66

VISITORS:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,3,5,60%,1,3,33%,4,8,50%,0,0,0%,9,0,2,3,3,0,0,1,0,0,0,11,56%,0,0,
Bela Dobkowski,4,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,2,2,4,3,0,0,0,1,0,0,5,0%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,3,8,38%,2,9,22%,5,17,29%,3,3,100%,15,1,0,6,0,0,0,2,3,0,0,9,40%,0,0,
Cam Perta,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Pelkey,6,4,6,67%,3,6,50%,7,12,58%,5,6,83%,22,1,3,2,2,0,0,2,6,0,0,18,75%,0,0,
Dylan Mackie,3,1,4,25%,0,2,0%,1,6,17%,1,1,100%,3,1,0,2,0,0,0,4,1,0,0,4,23%,0,0,
Elijah Tucker Bryant,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Letourneau,7,5,8,63%,3,7,43%,8,15,53%,3,5,60%,22,5,2,7,2,1,0,3,1,0,0,30,63%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,32,50%,9,28,32%,25,60,42%,12,15,80%,71,10,9,24,10,1,0,12,12,0,0,77,53%,0,0,

HOME:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,0,2,0%,0,2,0%,0,4,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,-3,0%,0,0,
Aiden Brown,8,0,1,0%,2,4,50%,2,5,40%,0,0,0%,6,3,1,3,4,0,0,0,3,0,0,7,60%,0,0,
Chris Thomas,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,1,0%,1,4,25%,1,5,20%,2,2,100%,5,0,2,1,2,0,0,0,1,0,0,3,42%,0,0,
John Helsel,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,4,0,3,0%,0,2,0%,0,5,0%,1,2,50%,1,2,2,10,3,2,0,0,4,0,0,7,8%,0,0,
Matt Spear,3,11,18,61%,0,1,0%,11,19,58%,4,5,80%,26,4,5,8,5,2,0,6,3,0,0,39,61%,0,0,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,8,16,50%,2,6,33%,10,22,45%,6,9,67%,28,1,3,4,0,0,0,3,7,0,0,17,53%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,41,46%,5,19,26%,24,60,40%,13,18,72%,66,10,13,27,15,4,0,9,18,0,0,70,48%,0,0,

