GAME STATS
Pink vs. Red
9/5/26, 9:00 AM
Playoffs

,1,2,Total
Pink,29,33,62
Red,28,35,63

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hans Lynn,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jeromy Anderson,0,3,7,43%,0,0,0%,3,7,43%,0,0,0%,6,0,4,5,2,1,0,0,0,0,0,12,42%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jj,99,6,15,40%,1,3,33%,7,18,39%,4,6,67%,19,2,1,7,1,0,0,2,3,0,0,15,46%,0,0,
Joe Luiz,8,1,1,100%,1,4,25%,2,5,40%,1,2,50%,6,0,0,5,0,0,0,0,1,0,0,6,51%,0,1,
John Obrien,5,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,0,0,3,0,0,0,0,1,0,0,0,0%,0,0,
Matt Riordan,1,9,13,69%,2,3,67%,11,16,69%,5,9,56%,29,1,0,9,5,1,0,0,6,0,0,25,72%,0,1,
Sub Elizer,0,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,1,2,0,2,0,0,1,5,0,0,0,50%,0,0,
Sub Tommy,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tavian Barrino,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,38,53%,4,12,33%,24,50,48%,10,17,59%,62,4,7,29,10,2,0,3,16,0,0,58,53%,0,2,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,3,9,12,75%,5,9,56%,14,21,67%,0,0,0%,33,1,2,14,1,0,0,4,3,0,0,44,78%,0,0,
Jason West,5,1,1,100%,0,2,0%,1,3,33%,0,0,0%,2,2,1,1,0,0,0,0,1,0,0,3,33%,0,0,
Joel McMahon,7,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,1,0,1,1,0,0,0,0,0,0,1,25%,0,0,
Suave,0,2,8,25%,1,7,14%,3,15,20%,1,2,50%,8,4,2,0,1,0,0,4,2,0,0,3,25%,0,0,
Sub Cole,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,2,4,50%,1,3,33%,3,7,43%,1,2,50%,8,1,1,1,3,0,0,0,0,0,0,6,50%,0,1,
Timmy Ashley,6,1,2,50%,0,4,0%,1,6,17%,0,0,0%,2,1,0,2,3,0,0,0,0,0,0,0,16%,0,0,
Will Oboh,2,2,4,50%,1,4,25%,3,8,38%,1,2,50%,8,3,0,0,3,1,0,0,2,0,0,4,45%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,33,55%,8,31,26%,26,64,41%,3,6,50%,63,13,6,19,12,1,0,8,8,0,0,61,47%,0,1,

