GAME STATS
Purple vs. Black
9/5/26, 10:13 AM
Playoffs

,1,2,Total
Purple,39,45,84
Black,32,40,72

VISITORS:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,0,1,2,1,0,0,0,0,0,0,4,50%,0,0,
Brody Snow,4,4,6,67%,2,7,29%,6,13,46%,1,2,50%,15,2,1,1,0,0,0,1,2,0,0,10,54%,0,0,
Dennis Schut,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Fisher,2,2,4,50%,0,1,0%,2,5,40%,2,2,100%,6,0,3,0,1,0,0,0,1,0,0,5,51%,0,0,
Dylan Pratico,1,2,2,100%,4,10,40%,6,12,50%,0,0,0%,16,1,0,1,2,0,0,3,0,0,0,15,66%,0,0,
Ethan Calle,6,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,0,0,0,0,0,0,1,0,0,0,2,50%,0,1,
Kevin Garrison,0,9,15,60%,4,8,50%,13,23,57%,11,11,100%,41,3,1,14,1,0,1,3,2,0,0,50,73%,0,0,
Logan Pelchar,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Casey,00,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,0,0,2,1,0,0,0,0,0,0,0,0%,0,0,
Sub Joe,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,29,59%,12,32,38%,29,61,48%,14,15,93%,84,6,6,20,6,0,1,8,5,0,0,86,62%,0,1,

HOME:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Thompson,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kaleb Sweaty,7,3,7,43%,4,11,36%,7,18,39%,1,1,100%,19,0,3,3,5,0,0,1,5,0,0,10,51%,0,0,
Kyle Picard ,9,4,6,67%,0,1,0%,4,7,57%,0,0,0%,8,1,0,1,1,0,0,0,2,0,0,5,57%,0,1,
Liam Walsh,6,6,7,86%,1,3,33%,7,10,70%,0,0,0%,15,0,0,5,1,0,0,0,0,0,0,17,75%,0,0,
Nick Galuszka,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Seth Jackson,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Josh,00,3,6,50%,0,0,0%,3,6,50%,0,0,0%,6,1,0,3,3,0,0,1,0,0,0,8,50%,0,0,
Sub Matt,00,4,6,67%,0,1,0%,4,7,57%,0,0,0%,8,1,2,3,1,0,0,0,0,0,0,11,57%,0,0,
Tarvarius Vance,3,2,2,100%,4,10,40%,6,12,50%,0,0,0%,16,1,1,8,2,0,0,2,2,0,0,20,66%,0,0,
Ty Gray,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ameden,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,34,65%,9,26,35%,31,60,52%,1,1,100%,72,4,6,23,13,0,0,4,9,0,0,71,59%,0,1,

