GAME STATS
Black vs. Red
8/30/26, 3:45 PM
Regular Season

,1,2,Total
Black,35,40,75
Red,39,39,78

VISITORS:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy ,00,1,2,50%,2,7,29%,3,9,33%,0,0,0%,8,5,1,5,1,0,0,0,3,0,0,10,44%,0,1,
Chris Thompson,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kaleb Sweaty,7,4,7,57%,2,7,29%,6,14,43%,0,0,0%,14,0,3,6,0,0,0,1,2,0,0,14,50%,0,0,
Kyle Picard ,9,3,9,33%,2,6,33%,5,15,33%,1,3,33%,13,2,4,3,1,0,0,0,0,0,0,10,39%,0,0,
Liam Walsh,6,9,12,75%,0,2,0%,9,14,64%,3,5,60%,21,1,3,3,1,0,0,0,1,0,0,20,64%,0,0,
Nick Galuszka,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Seth Jackson,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tarvarius Vance,3,3,9,33%,2,14,14%,5,23,22%,5,6,83%,17,2,1,5,2,0,0,4,2,0,0,8,33%,0,0,
Ty Gray,00,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,1,1,2,1,0,0,2,1,0,0,4,25%,0,0,
Will Ameden,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,41,51%,8,38,21%,29,79,37%,9,14,64%,75,11,13,24,6,0,0,7,9,0,0,66,44%,0,1,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,3,8,22,36%,0,1,0%,8,23,35%,1,1,100%,17,6,5,15,2,0,0,1,4,0,0,25,36%,0,0,
Jason West,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joel McMahon,7,1,1,100%,4,5,80%,5,6,83%,0,0,0%,14,3,1,7,2,0,0,0,1,0,0,23,116%,0,0,
Suave,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Cole,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,6,9,67%,3,6,50%,9,15,60%,2,2,100%,23,2,3,3,0,0,0,4,3,0,0,26,72%,0,1,
Timmy Ashley,6,3,8,38%,1,4,25%,4,12,33%,0,0,0%,9,0,2,5,2,0,0,2,2,0,0,8,37%,0,0,
Will Oboh,2,6,13,46%,1,4,25%,7,17,41%,0,0,0%,15,3,2,4,2,2,0,0,0,0,0,16,44%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,53,45%,9,20,45%,33,73,45%,3,3,100%,78,14,13,34,8,2,0,7,10,0,0,98,52%,0,1,

