GAME STATS
Black vs. White 
8/30/26, 1:33 PM
Regular Season

,1,2,Total
Black,37,48,85
White ,36,30,66

VISITORS:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy ,00,1,5,20%,6,8,75%,7,13,54%,0,0,0%,20,6,1,4,0,0,0,1,3,0,0,23,76%,0,0,
Chris Thompson,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kaleb Sweaty,7,2,6,33%,2,9,22%,4,15,27%,0,0,0%,10,5,2,7,3,1,0,1,0,0,0,15,33%,0,0,
Kyle Picard ,9,3,7,43%,4,7,57%,7,14,50%,0,2,0%,18,1,1,3,1,0,0,0,0,0,0,14,60%,0,0,
Liam Walsh,6,7,13,54%,0,2,0%,7,15,47%,4,7,57%,18,3,7,5,2,0,0,0,1,0,0,21,49%,0,0,
Nick Galuszka,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Seth Jackson,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tarvarius Vance,3,3,7,43%,2,11,18%,5,18,28%,1,2,50%,13,2,1,7,1,1,0,0,1,0,0,9,34%,0,1,
Ty Gray,00,0,1,0%,2,2,100%,2,3,67%,0,0,0%,6,0,1,3,1,0,0,0,0,0,0,9,100%,0,0,
Will Ameden,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,39,41%,16,39,41%,32,78,41%,5,11,45%,85,17,13,29,8,2,0,2,5,0,0,91,51%,0,1,

HOME:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,1,2,50%,0,1,0%,1,3,33%,2,2,100%,4,0,1,3,2,0,0,0,0,0,0,6,51%,0,0,
Colin Chicoine,8,2,4,50%,0,3,0%,2,7,29%,1,2,50%,5,2,2,1,0,0,0,0,2,0,0,2,31%,0,2,
Devin Bradford,0,1,2,50%,3,13,23%,4,15,27%,0,0,0%,11,1,1,9,2,0,0,1,0,0,0,12,36%,0,0,
Edo Semic,9,1,2,50%,2,5,40%,3,7,43%,0,0,0%,8,2,0,3,1,0,0,0,1,0,0,8,57%,0,0,
Keenan Chicone,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Bradford,4,5,8,63%,0,4,0%,5,12,42%,2,2,100%,12,5,1,2,1,0,0,3,1,0,0,15,46%,0,0,
Sub JP,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,7,12,58%,1,7,14%,8,19,42%,2,4,50%,19,1,4,9,1,0,0,0,2,0,0,18,45%,0,1,
Wyatt Messier,5,3,6,50%,0,2,0%,3,8,38%,1,1,100%,7,0,0,6,3,1,0,1,1,0,0,9,41%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,36,56%,6,35,17%,26,71,37%,8,11,73%,66,11,9,33,10,1,0,5,7,0,0,70,43%,0,3,

