GAME STATS
Blue vs. Orange
8/30/26, 12:25 PM
Regular Season

,1,2,Total
Blue,41,42,83
Orange,45,47,92

VISITORS:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,1,2,50%,2,8,25%,3,10,30%,0,0,0%,8,2,1,2,1,0,0,1,0,0,0,7,40%,0,0,
Bela Dobkowski,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,3,5,60%,4,11,36%,7,16,44%,1,1,100%,19,2,0,3,2,0,0,0,0,0,0,15,57%,0,1,
Cam Perta,0,0,0,0%,2,5,40%,2,5,40%,0,0,0%,6,1,0,1,4,0,0,1,1,0,0,5,60%,0,0,
Drew Pelkey,6,3,8,38%,2,5,40%,5,13,38%,1,1,100%,13,1,3,4,1,0,0,2,0,0,0,15,48%,0,0,
Dylan Mackie,3,0,3,0%,0,1,0%,0,4,0%,0,0,0%,0,1,0,3,1,0,0,0,1,0,0,-1,0%,0,0,
Elijah Tucker Bryant,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,6,12,50%,0,1,0%,6,13,46%,0,1,0%,12,1,4,2,2,0,0,0,0,0,0,11,44%,0,0,
Logan Letourneau,7,6,7,86%,4,6,67%,10,13,77%,1,2,50%,25,2,1,2,3,1,0,3,3,0,0,27,90%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,37,51%,14,37,38%,33,74,45%,3,5,60%,83,10,9,17,14,1,0,7,5,0,0,79,54%,0,1,

HOME:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
James Hare,1,3,4,75%,3,4,75%,6,8,75%,2,4,50%,17,2,0,2,1,0,0,1,2,0,0,16,87%,0,0,
Jordan Sanderson,0,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-1,0%,0,0,
Josh Carter,7,7,12,58%,3,6,50%,10,18,56%,9,9,100%,32,2,1,9,1,0,0,0,1,0,0,35,72%,0,0,
Kenny Black,4,3,9,33%,0,0,0%,3,9,33%,2,4,50%,8,3,6,3,1,1,0,0,4,0,0,9,37%,0,0,
Paul Gutierrez,5,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,0,0,1,0,0,0,0,0,0,0,1,33%,0,0,
Spook McQueen,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,8,10,80%,4,10,40%,12,20,60%,2,2,100%,30,6,2,9,2,1,0,3,4,0,0,39,71%,0,0,
Sub Carter,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,6,0,2,0%,1,4,25%,1,6,17%,0,2,0%,3,4,6,7,1,0,0,1,0,0,0,14,21%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,40,55%,11,25,44%,33,65,51%,15,21,71%,92,17,15,31,6,2,0,5,11,0,0,113,61%,0,0,

