GAME STATS
GRAY vs. WHITE
3/29/26, 10:00 AM
Regular Season

,1,2,Total
GRAY,31,35,66
WHITE,39,35,74

VISITORS:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,1,5,20%,1,5,20%,0,0,0%,3,1,2,0,5,0,0,1,0,0,0,3,30%,0,0,
Drew Fisher,3,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,1,0,2,0,0,0,1,0,0,-2,0%,0,0,
Dylan Pratico ,1,0,1,0%,2,4,50%,2,5,40%,0,0,0%,6,0,0,0,1,0,0,2,0,0,0,5,60%,0,0,
Ethan Calle,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0,0%,0,0,
Kevin Garrison,5,3,9,33%,5,15,33%,8,24,33%,9,10,90%,30,4,1,9,2,0,0,1,1,0,0,27,52%,0,0,
Kyle DeCoster,4,1,4,25%,1,4,25%,2,8,25%,2,2,100%,7,0,1,4,3,0,0,0,0,0,0,6,39%,0,0,
Manny Robertson,8,3,6,50%,4,14,29%,7,20,35%,1,2,50%,19,1,0,3,1,0,1,0,0,0,0,9,45%,0,0,
Myles Robertson,7,0,1,0%,0,1,0%,0,2,0%,1,2,50%,1,0,1,0,0,0,0,0,0,0,0,-1,17%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,7,21,33%,13,45,29%,20,66,30%,13,16,81%,66,6,6,16,15,0,1,4,2,0,0,47,45%,0,0,

HOME:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,1,1,100%,1,2,50%,2,3,67%,0,0,0%,5,1,2,1,4,0,0,0,0,0,0,8,83%,0,0,
Donnie Dwyer,7,2,2,100%,1,1,100%,3,3,100%,0,2,0%,7,2,0,2,1,0,0,1,2,0,0,8,90%,0,0,
Hans Lynn,4,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,0,0,1,0,0,0,0,0,0,0,3,100%,0,0,
John Helsel,0,7,8,88%,0,0,0%,7,8,88%,2,4,50%,16,1,1,5,0,0,0,1,0,0,0,21,81%,0,0,
John O'Brien,3,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,0,0,0,0,0,0,0,0,0,0,3,150%,0,0,
Matt Riordan ,1,5,6,83%,0,0,0%,5,6,83%,10,10,100%,20,2,1,9,2,1,1,0,1,0,0,31,96%,0,1,
Tavian Barrino,5,1,3,33%,1,7,14%,2,10,20%,2,4,50%,7,3,2,10,1,0,0,0,5,0,0,7,29%,0,0,
Zaire Wilson,2,5,10,50%,0,7,0%,5,17,29%,4,4,100%,14,0,0,4,1,0,0,0,1,0,0,5,37%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,31,71%,4,18,22%,26,49,53%,18,24,75%,74,9,6,32,9,1,1,2,9,0,0,86,62%,0,1,

