GAME STATS
Orange vs. Grey
8/30/26, 2:32 PM
Regular Season

,1,2,Total
Orange,40,39,79
Grey,38,37,75

VISITORS:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
James Hare,1,3,7,43%,4,5,80%,7,12,58%,0,0,0%,18,1,0,2,0,0,0,0,0,0,0,16,75%,0,0,
Jordan Sanderson,0,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,0,1,1,1,0,0,0,0,0,0,3,50%,0,0,
Josh Carter,7,8,15,53%,1,2,50%,9,17,53%,2,2,100%,21,4,0,7,0,0,0,2,1,0,0,25,58%,0,0,
Kenny Black,4,2,7,29%,0,1,0%,2,8,25%,2,2,100%,6,1,5,1,2,0,0,0,0,0,0,7,33%,0,0,
Paul Gutierrez,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,1,0%,0,0,
Spook McQueen,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,6,6,100%,4,11,36%,10,17,59%,0,1,0%,24,7,2,11,3,1,0,2,4,0,0,35,68%,0,0,
Sub Carter,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,6,1,3,33%,2,6,33%,3,9,33%,0,0,0%,8,1,1,7,4,2,0,1,0,0,0,14,44%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,40,52%,11,25,44%,32,65,49%,4,5,80%,79,14,9,30,10,3,0,5,5,0,0,101,58%,0,0,

HOME:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,0,3,0%,0,1,0%,0,4,0%,0,0,0%,0,2,0,2,2,0,0,2,0,0,0,2,0%,0,0,
Aiden Brown,8,1,2,50%,0,5,0%,1,7,14%,0,0,0%,2,0,1,1,0,0,0,0,1,0,0,-3,14%,0,0,
Chris Thomas,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,2,0%,2,7,29%,2,9,22%,0,0,0%,6,0,0,1,1,0,0,0,0,0,0,0,33%,0,1,
John Helsel,0,5,10,50%,0,1,0%,5,11,45%,1,1,100%,11,0,1,3,2,0,0,0,1,0,0,8,48%,0,0,
Kerry Lyons,4,3,5,60%,0,0,0%,3,5,60%,0,0,0%,6,3,1,7,0,1,0,1,1,0,0,16,60%,0,0,
Matt Spear,3,9,17,53%,3,9,33%,12,26,46%,3,9,33%,30,2,4,7,1,0,0,2,0,0,0,25,50%,0,0,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,7,11,64%,2,4,50%,9,15,60%,0,0,0%,20,1,2,0,2,0,0,0,4,0,0,13,66%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,50,50%,7,27,26%,32,77,42%,4,10,40%,75,8,9,21,8,1,0,5,7,0,0,61,46%,0,1,

