GAME STATS
Pink vs. Green
8/30/26, 8:04 AM
Regular Season

,1,2,Total
Pink,35,25,60
Green,36,31,67

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hans Lynn,7,1,4,25%,0,0,0%,1,4,25%,0,0,0%,2,0,1,1,0,0,0,0,1,0,0,0,25%,0,0,
Jeromy Anderson,0,3,6,50%,0,0,0%,3,6,50%,1,3,33%,7,1,6,7,1,1,0,0,0,0,0,17,47%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jj,99,2,5,40%,1,2,50%,3,7,43%,0,0,0%,7,3,1,6,2,0,0,2,4,0,0,11,50%,0,0,
Joe Luiz,8,1,3,33%,6,12,50%,7,15,47%,0,2,0%,20,0,1,4,2,1,0,1,4,0,0,13,62%,0,0,
John Obrien,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2,0,1,1,0,0,0,1,0,0,2,0%,0,0,
Matt Riordan,1,7,11,64%,0,5,0%,7,16,44%,3,5,60%,17,3,0,7,3,0,1,1,5,0,0,12,46%,0,0,
Sub Elizer,0,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,0,0,1,1,0,0,0,3,0,0,-3,25%,0,0,
Sub Tommy,00,1,2,50%,1,4,25%,2,6,33%,0,0,0%,5,0,0,1,1,1,0,0,0,0,0,3,41%,0,0,
Tavian Barrino,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,33,48%,8,25,32%,24,58,41%,4,10,40%,60,9,9,28,11,3,1,4,18,0,0,55,48%,0,0,

HOME:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,0,3,4,2,0,0,2,1,0,0,10,100%,0,0,
Austin Hamlin,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,1,1,0,0,0,2,0%,0,0,
Brandon Boyer,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Calder Horowitz McCadden,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jibril Abdullahi,0,10,19,53%,2,18,11%,12,37,32%,4,5,80%,30,8,1,4,0,0,1,3,3,0,0,17,38%,0,0,
Nick Lynn,2,1,1,100%,3,7,43%,4,8,50%,1,2,50%,12,0,2,5,2,1,1,1,0,0,0,16,67%,0,0,
Paddy Monaghan,1,1,3,33%,0,1,0%,1,4,25%,2,2,100%,4,2,2,6,4,0,0,0,0,0,0,11,40%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Fab,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Joe,00,0,0,0%,5,11,45%,5,11,45%,0,0,0%,15,3,1,3,0,0,0,1,0,0,0,17,68%,0,0,
Wyatt Jarvis Comi,8,0,1,0%,1,4,25%,1,5,20%,1,2,50%,4,0,0,0,0,0,0,0,0,0,0,-1,34%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,25,52%,11,41,27%,24,66,36%,8,11,73%,67,13,9,23,8,1,3,8,4,0,0,72,47%,0,0,

