GAME STATS
Pink vs. Grey
8/30/26, 10:10 AM
Regular Season

,1,2,Total
Pink,35,48,83
Grey,39,40,79

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hans Lynn,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,2,0,0,0,2,0%,0,0,
Jeromy Anderson,0,4,5,80%,0,0,0%,4,5,80%,1,3,33%,9,0,0,4,2,0,0,1,0,0,0,11,71%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jj,99,13,23,57%,1,5,20%,14,28,50%,3,6,50%,32,2,0,7,1,0,0,1,2,0,0,23,52%,0,0,
Joe Luiz,8,3,4,75%,0,4,0%,3,8,38%,0,0,0%,6,0,1,3,0,0,0,4,0,0,0,9,37%,0,1,
John Obrien,5,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,0,1,2,1,0,0,0,0,0,0,1,20%,0,0,
Matt Riordan,1,12,16,75%,0,0,0%,12,16,75%,3,6,50%,27,4,0,9,4,0,0,0,5,0,0,28,72%,0,0,
Sub Elizer,0,1,1,100%,1,2,50%,2,3,67%,0,0,0%,5,1,0,3,3,0,0,1,2,0,0,7,83%,0,0,
Sub Tommy,00,1,1,100%,0,4,0%,1,5,20%,0,0,0%,2,1,1,2,0,0,0,0,2,0,0,0,20%,0,0,
Tavian Barrino,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,35,53,66%,2,17,12%,37,70,53%,7,15,47%,83,8,3,30,12,0,0,9,11,0,0,81,54%,0,1,

HOME:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,1,2,50%,1,1,100%,2,3,67%,0,0,0%,5,0,1,4,2,0,0,1,1,0,0,9,83%,0,0,
Aiden Brown,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Chris Thomas,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Helsel,0,7,13,54%,0,1,0%,7,14,50%,4,4,100%,18,1,1,7,1,0,0,0,0,0,0,20,57%,0,0,
Kerry Lyons,4,2,5,40%,0,1,0%,2,6,33%,0,0,0%,4,4,1,10,2,0,0,1,4,0,0,12,33%,0,0,
Matt Spear,3,13,20,65%,1,5,20%,14,25,56%,2,5,40%,31,6,1,5,2,0,0,2,6,0,0,25,56%,0,0,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,8,18,44%,1,7,14%,9,25,36%,2,4,50%,21,1,2,6,4,0,0,1,2,0,0,11,39%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,31,58,53%,3,15,20%,34,73,47%,8,13,62%,79,12,6,32,11,0,0,5,13,0,0,77,50%,0,0,

