GAME STATS
PURPLE vs. BLUE
3/29/26, 9:00 AM
Regular Season

,1,2,Total
PURPLE,30,33,63
BLUE,35,27,62

VISITORS:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brock Carpenter ,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jimmy Warden ,7,4,8,50%,0,8,0%,4,16,25%,6,10,60%,14,4,1,6,0,1,0,1,3,0,0,8,34%,0,0,
Kaleb Swetty,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mark Nigolian,2,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,1,4,1,0,0,1,0,0,0,5,0%,0,0,
Peter SUB,55,4,10,40%,1,3,33%,5,13,38%,5,9,56%,16,2,3,8,1,1,0,0,2,0,0,16,47%,0,0,
Tim Lemieux,5,3,3,100%,1,4,25%,4,7,57%,2,2,100%,11,0,3,5,3,0,0,0,6,0,0,10,69%,0,0,
Tre Grubbs ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Trevis Buckhannon,1,10,19,53%,0,1,0%,10,20,50%,2,4,50%,22,3,6,14,1,4,1,2,1,0,0,38,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,41,51%,2,16,13%,23,57,40%,15,25,60%,63,9,14,37,6,6,1,4,12,0,0,77,46%,0,0,

HOME:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,1,4,25%,0,2,0%,1,6,17%,1,3,33%,3,1,3,2,2,0,0,2,0,0,0,4,20%,0,0,
James Hare,3,0,4,0%,2,6,33%,1,9,11%,0,0,0%,6,2,2,1,4,0,0,0,0,0,0,0,16%,0,0,
Joe Ruggles,8,0,1,0%,3,9,33%,3,10,30%,0,0,0%,9,4,1,0,0,0,0,1,1,0,0,7,45%,0,0,
Matt Spear,5,4,16,25%,7,11,64%,11,27,41%,3,4,75%,32,2,1,10,2,1,3,4,2,0,0,31,55%,0,0,
Nick Lynn,1,0,4,0%,1,3,33%,1,7,14%,0,0,0%,3,0,1,4,2,0,1,0,0,0,0,2,21%,0,0,
Peter Lindholm,4,2,3,67%,0,1,0%,2,4,50%,1,1,100%,5,0,0,0,1,0,0,0,0,0,0,3,56%,0,0,
Robert Yefchak,2,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,0,1,2,4,0,0,0,0,0,0,4,50%,0,0,
Wyatt Jarvis-Comi,7,1,3,33%,0,0,0%,2,4,50%,0,0,0%,2,1,0,1,0,0,0,0,0,0,0,5,62%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,9,36,25%,13,33,39%,22,69,32%,5,8,63%,62,10,9,20,15,1,4,7,3,0,0,56,42%,0,0,

