GAME STATS
White  vs. Green
8/30/26, 11:22 AM
Regular Season

,1,2,Total
White ,36,38,74
Green,42,38,80

VISITORS:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,3,5,60%,0,2,0%,3,7,43%,3,4,75%,9,1,1,7,0,1,0,0,1,0,0,13,51%,0,0,
Colin Chicoine,8,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,-2,0%,0,1,
Devin Bradford,0,1,4,25%,6,9,67%,7,13,54%,0,0,0%,20,2,1,1,1,0,0,0,0,0,0,18,76%,0,0,
Edo Semic,9,1,1,100%,2,7,29%,3,8,38%,0,0,0%,8,2,0,6,3,1,0,1,1,0,0,12,50%,0,0,
Keenan Chicone,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kolby Bradford,4,1,4,25%,0,4,0%,1,8,13%,2,2,100%,4,6,2,0,1,0,0,0,1,0,0,4,22%,0,0,
Sub JP,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,10,15,67%,2,11,18%,12,26,46%,3,3,100%,29,3,9,8,2,0,0,2,2,0,0,35,53%,0,0,
Wyatt Messier,5,1,2,50%,0,6,0%,1,8,13%,2,2,100%,4,2,0,9,2,1,0,0,1,0,0,8,22%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,31,55%,10,42,24%,27,73,37%,10,11,91%,74,16,13,32,10,3,0,3,6,0,0,88,47%,0,2,

HOME:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,2,5,40%,1,1,100%,3,6,50%,1,2,50%,8,2,1,2,2,0,0,2,0,0,0,11,58%,0,0,
Austin Hamlin,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brandon Boyer,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Calder Horowitz McCadden,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jibril Abdullahi,0,7,21,33%,3,10,30%,10,31,32%,1,2,50%,24,14,3,11,1,0,0,1,4,0,0,27,37%,0,1,
Nick Lynn,2,2,2,100%,4,8,50%,6,10,60%,0,1,0%,16,0,1,4,3,0,0,1,1,0,0,16,76%,0,0,
Paddy Monaghan,1,4,9,44%,0,0,0%,4,9,44%,0,1,0%,8,0,2,8,0,0,0,0,0,0,0,12,42%,0,0,
Sub Cory,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Fab,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Joe,00,2,4,50%,4,9,44%,6,13,46%,0,0,0%,16,2,1,3,0,0,0,1,0,0,0,16,61%,0,0,
Wyatt Jarvis Comi,8,2,3,67%,1,1,100%,3,4,75%,1,2,50%,8,0,0,3,2,0,0,0,0,0,0,9,81%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,44,43%,13,29,45%,32,73,44%,3,8,38%,80,18,8,31,8,0,0,5,5,0,0,91,52%,0,1,

