GAME STATS
BLUE vs. GREEN
4/5/26, 8:00 AM
Regular Season

,1,2,Total
BLUE,41,39,80
GREEN,49,43,92

VISITORS:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,4,9,44%,0,1,0%,4,10,40%,0,0,0%,8,0,0,2,4,0,0,2,1,0,0,5,40%,0,0,
James Hare,3,0,3,0%,3,8,38%,3,11,27%,1,2,50%,10,3,0,1,1,0,0,2,2,0,0,4,42%,0,1,
Joe Ruggles,8,0,1,0%,5,12,42%,5,13,38%,0,0,0%,15,1,0,6,0,0,0,1,0,0,0,15,57%,0,0,
Matt Spear,5,2,7,29%,5,9,56%,7,16,44%,3,6,50%,22,8,2,9,0,0,0,1,5,0,0,25,59%,0,0,
Nick Lynn,1,1,2,50%,1,3,33%,2,5,40%,0,1,0%,5,3,1,3,0,0,0,0,2,0,0,6,45%,0,0,
Pete Lindholm,4,1,4,25%,4,8,50%,5,12,42%,0,0,0%,14,1,3,4,4,0,0,0,0,0,0,15,58%,0,0,
Robert Yefchak,2,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,2,0,1,0,0,0,0,0,0,2,0%,0,0,
Wyatt Jarvis-Comi,7,0,0,0%,2,3,67%,2,3,67%,0,0,0%,6,0,0,1,1,0,0,0,0,0,0,6,100%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,8,27,30%,20,44,45%,28,71,39%,4,9,44%,80,17,8,25,11,0,0,6,10,0,0,78,53%,0,1,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,2,2,100%,1,5,20%,3,7,43%,0,0,0%,7,6,0,3,0,0,1,0,1,0,0,11,50%,0,0,
Asko Mostarlic,7,4,8,50%,5,12,42%,9,20,45%,1,2,50%,24,4,3,5,0,1,0,0,3,0,0,22,57%,0,0,
Jaren Jeffcoat,2,5,8,63%,0,1,0%,5,9,56%,4,4,100%,14,2,2,6,4,1,1,1,2,0,0,20,65%,0,0,
Jeromy Anderson,6,0,2,0%,0,0,0%,0,2,0%,0,1,0%,0,0,2,3,0,0,0,0,0,0,0,2,0%,0,0,
Jerrick Jacobs,1,4,5,80%,6,12,50%,10,17,59%,1,2,50%,27,0,0,3,1,0,0,1,1,0,0,22,75%,0,1,
Kerry Lyons,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mahlik Franklin,3,6,8,75%,1,3,33%,7,11,64%,3,3,100%,18,4,1,8,2,3,0,2,1,0,0,31,73%,0,0,
Ty Grizzly Gray,4,1,1,100%,0,1,0%,1,2,50%,0,0,0%,2,0,1,3,1,0,0,0,0,0,0,5,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,34,65%,13,34,38%,35,68,51%,9,12,75%,92,16,9,31,8,5,2,4,8,0,0,113,62%,0,1,

