GAME STATS
Black vs. Blue
7/5/26, 10:23 AM
Regular Season

,1,2,Total
Black,34,37,71
Blue,43,30,73

VISITORS:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Thompson,5,3,7,43%,1,7,14%,4,14,29%,0,0,0%,9,0,5,2,1,0,0,0,0,0,0,6,32%,0,0,
Kaleb Sweaty,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard ,9,2,5,40%,0,1,0%,2,6,33%,0,0,0%,4,0,3,2,0,0,0,0,1,0,0,4,33%,0,0,
Liam Walsh,6,0,2,0%,0,1,0%,0,3,0%,1,2,50%,1,1,5,2,0,1,0,0,0,0,0,6,12%,0,0,
Nick Galuszka,2,1,2,50%,0,3,0%,1,5,20%,0,0,0%,2,0,0,3,0,0,1,2,1,0,0,2,20%,0,0,
Seth Jackson,1,2,6,33%,1,11,9%,3,17,18%,0,0,0%,7,1,0,5,2,0,0,1,2,0,0,-2,20%,0,0,
Tarvarius Vance,3,6,11,55%,6,13,46%,12,24,50%,5,6,83%,35,3,4,9,2,0,0,1,0,0,0,39,65%,0,0,
Ty Gray,00,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-1,0%,0,0,
Will Ameden,4,1,2,50%,3,8,38%,4,10,40%,2,2,100%,13,1,1,6,3,0,0,1,3,0,0,13,59%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,35,43%,11,45,24%,26,80,33%,8,10,80%,71,6,18,29,8,1,1,5,7,0,0,67,42%,0,1,

HOME:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,2,0,2,1,0,0,0,1,0,0,1,0%,0,0,
Bela Dobkowski,4,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,4,4,1,0,0,0,0,0,0,7,0%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,4,10,40%,3,11,27%,7,21,33%,2,2,100%,19,3,1,3,4,0,0,1,1,0,0,12,43%,0,1,
Cam Perta,0,0,1,0%,2,6,33%,2,7,29%,0,0,0%,6,2,0,3,1,0,0,0,0,0,0,6,42%,0,1,
Drew Pelkey,6,4,8,50%,1,3,33%,5,11,45%,2,4,50%,13,1,2,10,0,0,0,2,1,0,0,19,50%,0,0,
Dylan Mackie,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Elijah Tucker Bryant,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,2,6,33%,3,5,60%,5,11,45%,0,0,0%,13,0,3,6,1,0,0,0,3,0,0,13,59%,0,0,
Logan Letourneau,7,2,6,33%,6,13,46%,8,19,42%,0,0,0%,22,6,0,4,1,0,1,2,0,0,0,23,57%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,32,38%,15,40,38%,27,72,38%,4,6,67%,73,14,10,32,9,0,1,5,6,0,0,81,48%,0,3,

