GAME STATS
ORANGE vs. PINK
4/5/26, 10:02 AM
Regular Season

,1,2,Total
ORANGE,42,25,67
PINK,36,37,73

VISITORS:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,4,5,80%,1,11,9%,5,16,31%,0,0,0%,11,0,0,3,1,0,0,0,0,0,0,3,34%,0,0,
Eleizer Perez Jr. ,0,2,2,100%,0,2,0%,2,4,50%,0,1,0%,4,1,1,4,4,0,0,0,1,0,0,6,45%,0,1,
Jason West,5,0,3,0%,0,1,0%,0,4,0%,0,0,0%,0,2,1,4,0,0,0,0,0,0,0,3,0%,0,0,
Paul Gutierrez,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,1,0,0,0,0,0,0,0,2,0%,0,0,
Timmy Ashley,4,1,2,50%,1,2,50%,2,4,50%,0,1,0%,5,1,0,2,2,0,0,0,2,0,0,3,56%,0,0,
Trent Roleau,8,4,8,50%,3,8,38%,7,16,44%,0,4,0%,17,0,4,4,4,0,0,1,0,0,0,13,47%,0,0,
Walker Storey,7,1,2,50%,3,9,33%,4,11,36%,0,0,0%,11,3,0,3,0,0,0,2,2,0,0,10,50%,0,0,
Will Oboh,2,4,8,50%,3,6,50%,7,14,50%,2,3,67%,19,4,3,3,3,0,0,1,4,0,0,18,62%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,30,53%,11,39,28%,27,69,39%,2,9,22%,67,12,9,24,14,0,0,4,9,0,0,58,45%,0,1,

HOME:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,1,2,50%,2,3,67%,3,5,60%,0,0,0%,8,1,2,5,3,0,0,1,0,0,0,15,80%,0,0,
Cody Jarvis ,2,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,1,2,3,0,0,0,0,0,0,2,0%,0,0,
Edo Semic ,5,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,4,2,0,0,0,0,0,0,2,0%,0,0,
Jack Lloyd ,7,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,0,0,2,3,0,0,0,2,0,0,-3,0%,0,0,
Kyle Haley,8,3,8,38%,5,16,31%,8,24,33%,1,2,50%,22,7,2,8,2,0,0,1,0,0,0,23,44%,0,0,
Liam Walsh ,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Max Taylor ,4,4,11,36%,1,3,33%,5,14,36%,0,4,0%,11,1,3,4,0,0,0,1,2,0,0,5,34%,0,0,
Tyrone Conley,1,9,14,64%,3,10,30%,12,24,50%,5,7,71%,32,2,4,9,1,1,1,1,3,0,0,32,59%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,36,47%,11,37,30%,28,73,38%,6,13,46%,73,11,12,34,14,1,1,4,7,0,0,76,46%,0,1,

