GAME STATS
Pink vs. White 
7/5/26, 11:32 AM
Regular Season

,1,2,Total
Pink,37,30,67
White ,18,39,57

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,3,6,50%,1,6,17%,4,12,33%,1,1,100%,10,4,1,7,1,1,0,0,4,0,0,11,40%,0,0,
Hans Lynn,7,0,3,0%,0,0,0%,0,3,0%,0,0,0%,0,0,0,5,0,0,0,0,0,0,0,2,0%,0,0,
Jeromy Anderson,0,2,2,100%,0,0,0%,2,2,100%,0,0,0%,4,0,2,4,1,0,0,0,0,0,0,10,100%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joe Luiz,8,2,7,29%,0,1,0%,2,8,25%,2,2,100%,6,0,4,5,1,0,0,0,0,0,0,9,33%,0,1,
John Obrien,5,1,5,20%,0,1,0%,1,6,17%,0,0,0%,2,0,1,0,1,0,1,0,0,0,0,-2,16%,0,0,
Matt Riordan,1,2,12,17%,1,3,33%,3,15,20%,6,9,67%,13,1,4,9,2,0,0,2,3,0,0,11,34%,0,2,
Tavian Barrino,3,7,11,64%,6,12,50%,13,23,57%,0,0,0%,32,2,1,8,2,1,0,2,5,0,0,31,69%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,46,37%,8,23,35%,25,69,36%,9,12,75%,67,7,13,38,8,2,1,4,12,0,0,72,45%,0,3,

HOME:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,4,7,57%,0,2,0%,4,9,44%,0,0,0%,8,0,3,3,0,0,0,1,1,0,0,9,44%,0,0,
Colin Chicoine,8,1,3,33%,1,3,33%,2,6,33%,0,0,0%,5,1,1,2,2,0,0,1,1,0,0,5,41%,0,1,
Devin Bradford,0,3,5,60%,0,5,0%,3,10,30%,0,2,0%,6,1,2,2,0,0,0,1,1,0,0,2,27%,0,0,
Edo Semic,9,0,1,0%,0,3,0%,0,4,0%,0,0,0%,0,0,0,3,3,0,0,2,0,0,0,1,0%,0,0,
Keenan Chicone,6,2,6,33%,0,1,0%,2,7,29%,0,0,0%,4,3,1,3,2,0,0,1,0,0,0,7,28%,0,1,
Kolby Bradford,4,1,3,33%,0,3,0%,1,6,17%,3,4,75%,5,5,0,4,3,0,0,2,2,0,0,8,32%,0,0,
Tyrone Conley,1,3,8,38%,2,8,25%,5,16,31%,3,3,100%,15,0,6,6,2,1,1,1,1,0,0,17,43%,0,0,
Wyatt Messier,5,5,9,56%,1,9,11%,6,18,33%,1,2,50%,14,0,0,5,1,2,0,0,0,0,0,8,37%,0,2,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,42,45%,4,34,12%,23,76,30%,7,11,64%,57,10,13,28,13,3,1,9,6,0,0,57,35%,0,4,

