GAME STATS
Purple vs. Green
7/5/26, 8:00 AM
Regular Season

,1,2,Total
Purple,37,35,72
Green,23,39,62

VISITORS:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,1,1,100%,2,7,29%,3,8,38%,0,0,0%,8,5,0,3,0,0,0,0,1,0,0,10,50%,0,0,
Brody Snow,4,1,7,14%,2,4,50%,3,11,27%,0,0,0%,8,1,1,2,1,0,0,0,2,0,0,2,36%,0,0,
Dennis Schut,5,4,6,67%,8,14,57%,12,20,60%,0,0,0%,32,1,4,7,1,0,0,1,0,0,0,37,80%,0,0,
Drew Fisher,2,1,7,14%,1,5,20%,2,12,17%,0,0,0%,5,1,0,7,0,0,0,0,2,0,0,1,20%,0,0,
Dylan Pratico,1,4,7,57%,2,8,25%,6,15,40%,0,0,0%,14,5,0,8,2,0,0,1,2,0,0,17,46%,0,0,
Ethan Calle,6,0,0,0%,0,5,0%,0,5,0%,0,0,0%,0,2,0,2,0,0,0,0,0,0,0,-1,0%,0,3,
Kevin Garrison,0,1,2,50%,1,4,25%,2,6,33%,0,0,0%,5,4,0,11,0,0,0,2,4,0,0,14,41%,0,0,
Logan Pelchar,3,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,5,1,0,0,0,0,0,0,3,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,30,40%,16,49,33%,28,79,35%,0,0,0%,72,19,5,45,5,0,0,4,11,0,0,83,45%,0,3,

HOME:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,2,10,20%,1,3,33%,3,13,23%,4,4,100%,11,0,1,8,0,0,0,2,1,0,0,11,37%,0,0,
Austin Hamlin,3,0,0,0%,1,2,50%,1,2,50%,0,0,0%,3,3,1,2,0,0,0,1,0,0,0,9,75%,0,1,
Brandon Boyer,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Calder Horowitz McCadden,0,8,18,44%,0,10,0%,8,28,29%,2,2,100%,18,2,4,14,0,0,0,2,2,0,0,18,31%,0,2,
Jibril Abdullahi,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,2,7,13,54%,1,4,25%,8,17,47%,1,2,50%,18,2,5,9,0,1,0,2,2,0,0,25,50%,0,0,
Paddy Monaghan,1,3,14,21%,0,0,0%,3,14,21%,0,0,0%,6,1,2,5,1,0,0,1,3,0,0,1,21%,0,0,
Wyatt Jarvis Comi,8,0,4,0%,2,5,40%,2,9,22%,0,0,0%,6,1,0,7,0,0,0,0,0,0,0,7,33%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,59,34%,5,24,21%,25,83,30%,7,8,88%,62,9,13,45,1,1,0,8,8,0,0,71,35%,0,3,

