GAME STATS
Red vs. Grey
7/5/26, 8:57 AM
Regular Season

,1,2,OT1,OT2,OT3,Total
Red,40,29,2,2,0,73
Grey,25,44,2,2,3,76

VISITORS:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,10,16,63%,0,9,0%,10,25,40%,1,1,100%,21,1,5,4,1,0,0,2,1,0,0,17,41%,0,0,
Jaren Jeffcoat,3,6,13,46%,1,2,50%,7,15,47%,0,2,0%,15,1,8,7,4,2,0,2,2,0,0,23,47%,0,0,
Jason West,5,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,4,1,2,1,0,0,3,0,0,0,9,25%,0,0,
Joel McMahon,7,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,0,0,1,1,0,0,0,2,0,0,0,50%,0,1,
Suave,0,3,8,38%,2,6,33%,5,14,36%,0,3,0%,12,5,3,5,3,0,0,2,4,0,0,11,39%,0,0,
Tim Lemieux,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Timmy Ashley,6,0,1,0%,2,7,29%,2,8,25%,0,0,0%,6,0,1,3,0,0,0,0,0,0,0,4,37%,0,0,
Will Oboh,2,5,6,83%,0,6,0%,5,12,42%,4,4,100%,14,2,1,10,5,0,0,1,2,0,0,19,50%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,46,54%,6,35,17%,31,81,38%,5,10,50%,73,13,19,32,15,2,0,10,11,0,0,83,42%,0,2,

HOME:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,1,1,100%,2,6,33%,3,7,43%,0,0,0%,8,0,0,2,0,0,0,0,0,0,0,6,57%,0,2,
Aiden Brown,8,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,1,2,2,0,0,0,1,1,0,0,3,20%,0,0,
Chris Thomas,5,2,4,50%,1,1,100%,3,5,60%,0,0,0%,7,2,0,1,2,0,0,1,1,0,0,8,70%,0,0,
Cyle Chappy,2,0,0,0%,1,5,20%,1,5,20%,0,0,0%,3,1,2,5,2,0,0,0,0,0,0,7,30%,0,0,
John Helsel,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,4,1,4,25%,0,0,0%,1,4,25%,4,7,57%,6,2,3,7,2,0,0,2,5,0,0,9,42%,0,0,
Matt Spear,3,10,18,56%,0,7,0%,10,25,40%,3,4,75%,23,1,3,7,3,0,0,3,3,0,0,18,42%,0,1,
Tommy Brockmyre,0,9,15,60%,2,7,29%,11,22,50%,3,7,43%,27,3,2,5,1,0,0,1,2,0,0,21,53%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,45,53%,6,28,21%,30,73,41%,10,18,56%,76,10,12,29,10,0,0,8,12,0,0,72,46%,0,3,

