GAME STATS
BLUE vs. GRAY
4/19/26, 9:57 AM
Regular Season

,1,2,Total
BLUE,25,28,53
GRAY,19,46,65

VISITORS:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,3,7,43%,1,2,50%,4,9,44%,0,0,0%,9,3,2,4,3,0,0,1,3,0,0,11,50%,0,0,
Jack McCoy,00,7,20,35%,2,8,25%,9,28,32%,5,11,45%,25,3,7,16,2,1,0,1,6,0,0,22,38%,0,0,
James Hare,3,2,5,40%,1,5,20%,3,10,30%,0,0,0%,7,0,3,3,3,0,0,0,1,0,0,5,35%,0,1,
Joe Ruggles,8,0,1,0%,0,7,0%,0,8,0%,0,0,0%,0,1,0,8,0,0,0,2,2,0,0,1,0%,0,0,
Matt Spear,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,1,0,3,0%,2,3,67%,2,6,33%,0,0,0%,6,0,1,3,1,0,0,0,0,0,0,6,50%,0,0,
Pete Lindholm,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Robert Yefchak,2,3,5,60%,0,0,0%,3,5,60%,0,0,0%,6,2,1,3,0,0,0,0,2,0,0,8,60%,0,0,
Wyatt Jarvis-Comi,7,0,2,0%,0,1,0%,0,3,0%,0,0,0%,0,1,1,2,0,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,43,35%,6,26,23%,21,69,30%,5,11,45%,53,10,15,39,9,1,0,4,14,0,0,54,35%,0,1,

HOME:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0,4,0,0,0,0,0,0,0,1,0%,0,0,
Drew Fisher,3,0,1,0%,1,2,50%,1,3,33%,0,0,0%,3,0,1,3,0,0,0,0,0,0,0,5,50%,0,0,
Dylan Pratico ,1,3,5,60%,3,11,27%,6,16,38%,0,0,0%,15,0,0,3,4,0,0,2,3,0,0,7,46%,0,0,
Ethan Calle,2,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,1,0,1,3,0,0,1,0,0,0,0,0%,0,1,
Kevin Garrison,5,3,8,38%,4,12,33%,7,20,35%,2,2,100%,20,6,4,10,0,0,0,2,2,0,0,27,47%,0,0,
Kyle DeCoster,4,3,8,38%,0,1,0%,3,9,33%,1,2,50%,7,0,5,2,2,0,0,0,1,0,0,6,35%,0,0,
Manny Robertson,8,5,12,42%,3,11,27%,8,23,35%,1,1,100%,20,1,2,8,2,0,0,3,1,0,0,18,42%,0,0,
Myles Robertson,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,35,40%,11,42,26%,25,77,32%,4,5,80%,65,8,12,31,11,0,0,8,7,0,0,64,41%,0,1,

