GAME STATS
Green vs. Grey
7/12/26, 11:11 AM
Regular Season

,1,2,Total
Green,24,26,50
Grey,33,20,53

VISITORS:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,9,14,64%,0,0,0%,9,14,64%,1,6,17%,19,2,2,5,1,1,0,0,2,0,0,17,57%,0,0,
Austin Hamlin,3,0,0,0%,2,6,33%,2,6,33%,0,0,0%,6,1,1,1,0,0,0,0,0,0,0,5,50%,0,0,
Brandon Boyer,0,0,2,0%,0,8,0%,0,10,0%,0,0,0%,0,4,5,4,2,0,0,3,1,0,0,5,0%,0,0,
Calder Horowitz McCadden,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jibril Abdullahi,0,1,1,100%,0,2,0%,1,3,33%,2,2,100%,4,0,0,0,0,0,0,0,0,0,0,2,51%,0,0,
Nick Lynn,2,1,5,20%,1,6,17%,2,11,18%,0,0,0%,5,1,1,7,0,0,0,1,0,0,0,6,22%,0,0,
Paddy Monaghan,1,3,10,30%,0,1,0%,3,11,27%,0,0,0%,6,1,1,13,3,1,0,0,0,0,0,14,27%,0,0,
Wyatt Jarvis Comi,8,3,4,75%,1,5,20%,4,9,44%,1,2,50%,10,0,0,6,2,0,0,1,1,0,0,10,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,36,47%,4,28,14%,21,64,33%,4,10,40%,50,9,10,36,8,2,0,5,4,0,0,59,36%,0,0,

HOME:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,3,9,33%,3,6,50%,6,15,40%,0,4,0%,15,0,0,4,2,0,0,0,2,0,0,4,44%,0,1,
Aiden Brown,8,0,3,0%,4,8,50%,4,11,36%,0,0,0%,12,0,0,2,1,0,0,1,1,0,0,7,54%,0,1,
Chris Thomas,5,0,4,0%,0,0,0%,0,4,0%,0,0,0%,0,0,2,3,0,1,0,0,0,0,0,2,0%,0,0,
Cyle Chappy,2,0,1,0%,0,6,0%,0,7,0%,0,0,0%,0,1,1,5,1,0,0,1,1,0,0,0,0%,0,0,
John Helsel,0,3,10,30%,1,3,33%,4,13,31%,3,4,75%,12,3,1,11,1,0,0,0,0,0,0,17,40%,0,0,
Kerry Lyons,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Matt Spear,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Mahlik,00,5,9,56%,1,4,25%,6,13,46%,1,3,33%,14,5,2,12,2,1,0,2,2,0,0,25,48%,0,0,
Tommy Brockmyre,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,36,31%,9,27,33%,20,63,32%,4,11,36%,53,9,6,37,7,2,0,4,6,0,0,55,39%,0,2,

