GAME STATS
Pink vs. Black
7/12/26, 10:09 AM
Regular Season

,1,2,Total
Pink,34,51,85
Black,27,41,68

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,0,2,0%,2,3,67%,2,5,40%,0,0,0%,6,3,0,7,2,0,0,1,1,0,0,13,60%,0,0,
Hans Lynn,7,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,0,0%,0,0,
Jeromy Anderson,0,1,2,50%,0,0,0%,1,2,50%,0,2,0%,2,1,0,3,0,0,0,1,0,0,0,4,34%,0,0,
Jerrick Jacobs,6,4,6,67%,2,8,25%,6,14,43%,0,0,0%,14,2,2,1,0,0,0,0,1,0,0,10,50%,0,1,
Joe Luiz,8,1,6,17%,1,3,33%,2,9,22%,0,0,0%,5,1,2,2,1,1,0,0,0,0,0,4,27%,1,1,
John Obrien,5,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,1,2,1,0,0,0,0,0,0,0,4,33%,0,0,
Matt Riordan,1,5,6,83%,0,1,0%,5,7,71%,0,0,0%,10,2,1,6,1,1,0,1,4,0,0,15,71%,0,0,
Tavian Barrino,3,10,14,71%,8,16,50%,18,30,60%,2,5,40%,46,5,2,3,3,2,0,1,2,0,0,42,71%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,39,56%,13,32,41%,35,71,49%,2,7,29%,85,15,9,24,8,4,0,4,8,0,0,92,57%,1,3,

HOME:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Thompson,5,1,6,17%,1,1,100%,2,7,29%,0,0,0%,5,0,4,0,0,0,0,1,1,0,0,4,35%,0,0,
Kaleb Sweaty,7,5,12,42%,1,6,17%,6,18,33%,0,0,0%,13,2,2,6,1,1,0,3,1,0,0,14,36%,0,0,
Kyle Picard ,9,0,1,0%,1,3,33%,1,4,25%,1,2,50%,4,2,1,4,1,0,0,1,2,0,0,6,40%,0,0,
Liam Walsh,6,6,8,75%,0,1,0%,6,9,67%,1,3,33%,13,1,3,2,2,0,0,0,1,0,0,13,62%,0,0,
Nick Galuszka,2,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,0,0,3,1,0,0,1,1,0,0,4,50%,0,0,
Seth Jackson,1,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,0,0%,0,0,
Tarvarius Vance,3,5,8,63%,5,14,36%,10,22,45%,2,4,50%,27,2,2,8,4,0,0,1,2,0,0,24,56%,0,0,
Ty Gray,00,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0%,0,0,
Will Ameden,4,1,3,33%,0,5,0%,1,8,13%,2,2,100%,4,1,2,0,2,1,0,0,0,0,0,1,22%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,40,48%,8,32,25%,27,72,38%,6,11,55%,68,8,14,25,12,2,0,7,8,0,0,66,44%,0,0,

