GAME STATS
RED vs. YELLOW
4/19/26, 11:01 AM
Regular Season

,1,2,Total
RED,44,35,79
YELLOW,44,32,76

VISITORS:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,2,8,25%,0,2,0%,2,10,20%,2,4,50%,6,3,2,4,0,0,0,0,1,0,0,4,25%,0,0,
Emin Kekic ,4,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,1,2,1,0,0,0,0,0,0,0,7,66%,0,0,
Jibeil Abdullahi,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Josh Carter,7,6,11,55%,2,6,33%,8,17,47%,0,2,0%,18,2,1,8,1,0,0,0,7,0,0,11,50%,0,0,
Kolby Bradford,3,1,6,17%,2,5,40%,3,11,27%,0,0,0%,8,1,1,3,0,0,0,0,2,0,0,3,36%,0,0,
Logan Hogaboom,0,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,1,1,5,2,0,0,0,1,0,0,9,150%,0,0,
Logan Tobin,2,7,9,78%,3,6,50%,10,15,67%,0,0,0%,23,0,1,2,2,0,0,0,1,0,0,20,76%,0,0,
Will Ewald,5,6,13,46%,1,4,25%,7,17,41%,2,3,67%,17,2,8,12,1,0,0,1,2,0,0,27,46%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,50,48%,9,24,38%,33,74,45%,4,9,44%,79,10,16,35,6,0,0,1,14,0,0,81,50%,0,0,

HOME:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,0,1,0%,3,11,27%,3,12,25%,0,0,0%,9,1,0,1,1,0,0,0,1,0,0,1,37%,0,0,
Bela Dobkowski,3,2,4,50%,0,1,0%,2,5,40%,0,0,0%,4,0,5,5,2,0,0,0,0,0,0,11,40%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,1,1,100%,5,16,31%,6,17,35%,1,1,100%,18,1,3,1,1,0,0,0,0,0,0,12,51%,0,0,
Drew Pelkey,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Dylan Mackie,5,0,3,0%,0,2,0%,0,5,0%,0,0,0%,0,6,1,6,3,0,0,4,0,0,0,12,0%,0,0,
Graden Conger,7,0,4,0%,2,7,29%,2,11,18%,3,3,100%,9,3,1,3,1,0,0,1,1,0,0,7,36%,0,0,
Kam Strickland,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,1,1,4,0,0,0,0,0,0,2,0%,0,0,
Logan Letourneau,4,0,4,0%,12,20,60%,12,24,50%,0,2,0%,36,0,0,2,0,0,0,1,2,0,0,23,72%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,3,17,18%,22,57,39%,25,74,34%,4,6,67%,76,11,11,19,12,0,0,6,4,0,0,68,49%,0,0,

