GAME STATS
Red vs. Blue
7/12/26, 8:00 AM
Regular Season

,1,2,Total
Red,44,35,79
Blue,49,36,85

VISITORS:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,5,12,42%,5,9,56%,10,21,48%,8,8,100%,33,1,4,9,1,1,0,0,4,0,0,33,67%,0,0,
Jaren Jeffcoat,3,8,15,53%,1,3,33%,9,18,50%,1,2,50%,20,2,4,9,4,0,1,0,7,0,0,18,52%,0,0,
Jason West,5,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,2,2,4,2,0,0,0,1,0,0,10,150%,0,0,
Joel McMahon,7,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,1,2,1,0,0,0,2,0,0,0,0%,0,0,
Suave,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,1,0,2,0%,0,1,0%,0,3,0%,0,0,0%,0,2,0,6,0,0,0,0,2,0,0,3,0%,0,0,
Timmy Ashley,6,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,1,0,2,3,0,0,0,0,0,0,1,0%,0,0,
Will Oboh,2,3,6,50%,4,8,50%,7,14,50%,5,8,63%,23,2,1,2,0,1,0,1,3,0,0,17,65%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,36,44%,11,24,46%,27,60,45%,14,18,78%,79,10,12,34,11,2,1,1,19,0,0,82,58%,0,0,

HOME:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,1,2,50%,3,7,43%,4,9,44%,0,0,0%,11,0,1,0,1,0,0,0,0,0,0,7,61%,0,0,
Bela Dobkowski,4,2,2,100%,1,1,100%,3,3,100%,0,0,0%,7,2,0,2,4,0,0,0,0,0,0,11,116%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,2,6,33%,5,13,38%,7,19,37%,2,2,100%,21,2,3,2,0,0,0,1,1,0,0,16,52%,0,0,
Cam Perta,0,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,0,0,2,0,0,0,0,0,0,-1,0%,0,0,
Drew Pelkey,6,7,13,54%,2,5,40%,9,18,50%,1,2,50%,21,3,4,5,4,0,0,2,1,0,0,24,55%,0,0,
Dylan Mackie,3,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,3,2,0,1,0,0,1,1,0,0,3,20%,0,0,
Elijah Tucker Bryant,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,4,6,67%,1,5,20%,5,11,45%,0,1,0%,11,1,1,4,3,1,0,1,0,0,0,12,48%,0,0,
Logan Letourneau,7,2,3,67%,2,8,25%,4,11,36%,2,2,100%,12,5,1,5,0,1,0,5,0,0,0,22,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,35,54%,14,43,33%,33,78,42%,5,7,71%,85,17,12,18,15,2,0,10,3,0,0,94,52%,0,0,

