GAME STATS
TAN vs. GREEN
4/19/26, 12:06 PM
Regular Season

,1,2,Total
TAN,32,33,65
GREEN,36,44,80

VISITORS:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,2,4,50%,3,11,27%,5,15,33%,0,0,0%,13,3,1,2,1,0,0,0,2,0,0,7,43%,0,0,
Brody Snow,2,3,4,75%,1,3,33%,4,7,57%,0,2,0%,9,1,0,2,4,0,0,1,1,0,0,7,57%,0,0,
Cory Chaplin ,1,4,6,67%,2,12,17%,6,18,33%,0,0,0%,14,0,1,6,1,0,0,0,2,0,0,7,38%,0,0,
Devin Bradford ,0,1,3,33%,0,5,0%,1,8,13%,0,0,0%,2,1,2,5,0,0,0,0,1,0,0,2,12%,0,0,
Hakeem Faud ,7,8,18,44%,1,2,50%,9,20,45%,2,2,100%,21,3,3,10,4,1,0,2,3,0,0,26,50%,0,1,
Jeremy Franklin ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard,8,1,2,50%,1,4,25%,2,6,33%,1,1,100%,6,1,0,6,1,1,0,0,2,0,0,8,46%,0,0,
Logan Pelchar,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,37,51%,8,37,22%,27,74,36%,3,5,60%,65,9,7,32,11,2,0,3,11,0,0,58,42%,0,1,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,3,5,60%,4,8,50%,7,13,54%,0,0,0%,18,1,2,4,0,0,0,1,3,0,0,17,69%,0,0,
Asko Mostarlic,7,6,14,43%,4,14,29%,10,28,36%,1,1,100%,25,3,2,12,1,0,0,0,1,0,0,23,43%,0,0,
Jaren Jeffcoat,2,7,10,70%,0,2,0%,7,12,58%,3,4,75%,17,1,2,4,2,0,0,0,3,0,0,15,61%,0,0,
Jeromy Anderson,6,0,5,0%,0,0,0%,0,5,0%,0,0,0%,0,0,1,5,1,0,0,0,0,0,0,1,0%,0,0,
Jerrick Jacobs,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,8,2,5,40%,0,0,0%,2,5,40%,0,0,0%,4,2,1,8,2,1,0,0,1,0,0,12,40%,0,0,
Mahlik Franklin,3,3,7,43%,3,10,30%,6,17,35%,1,2,50%,16,3,3,6,1,2,0,4,1,0,0,21,44%,0,0,
Ty Grizzly Gray,4,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,0,1,1,0,0,0,0,0,0,0,-1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,47,45%,11,36,31%,32,83,39%,5,7,71%,80,10,12,40,7,3,0,5,9,0,0,88,46%,0,0,

