GAME STATS
Grey vs. Blue
7/19/26, 8:00 AM
Regular Season

,1,2,Total
Grey,23,46,69
Blue,48,59,107

VISITORS:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,1,5,20%,1,5,20%,2,10,20%,0,0,0%,5,0,2,1,1,0,0,0,2,0,0,-2,25%,0,3,
Aiden Brown,8,1,2,50%,3,8,38%,4,10,40%,0,0,0%,11,2,0,6,2,0,0,0,1,0,0,12,55%,0,0,
Chris Thomas,5,1,6,17%,0,0,0%,1,6,17%,0,0,0%,2,1,3,3,4,1,0,1,1,0,0,5,16%,0,0,
Cyle Chappy,2,0,4,0%,1,4,25%,1,8,13%,0,0,0%,3,1,2,1,0,0,0,0,2,0,0,-2,18%,0,0,
John Helsel,0,5,11,45%,0,1,0%,5,12,42%,1,2,50%,11,5,3,7,2,0,0,1,0,0,0,19,42%,0,0,
Kerry Lyons,4,0,3,0%,1,1,100%,1,4,25%,2,2,100%,5,0,1,3,0,0,0,0,1,0,0,5,51%,0,0,
Matt Spear,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,6,14,43%,4,8,50%,10,22,45%,8,9,89%,32,4,2,6,1,1,0,0,2,0,0,30,61%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,45,31%,10,27,37%,24,72,33%,11,13,85%,69,13,13,27,10,2,0,2,9,0,0,67,44%,0,3,

HOME:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,0,1,0%,2,9,22%,2,10,20%,0,0,0%,6,1,1,2,1,0,0,1,0,0,0,3,30%,0,0,
Bela Dobkowski,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,3,3,3,0,1,0,0,0,0,0,10,0%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,14,17,82%,7,14,50%,21,31,68%,0,1,0%,49,1,0,3,0,0,0,1,0,0,0,43,77%,0,0,
Cam Perta,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Pelkey,6,3,7,43%,4,7,57%,7,14,50%,7,7,100%,25,3,4,7,1,0,0,0,0,0,0,32,73%,0,0,
Dylan Mackie,3,0,0,0%,0,0,0%,0,0,0%,0,2,0%,0,4,0,6,0,0,0,0,1,0,0,7,0%,0,0,
Elijah Tucker Bryant,0,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,1,0,1,3,0,0,1,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,6,11,55%,0,2,0%,6,13,46%,2,2,100%,14,6,4,6,3,0,0,2,1,0,0,24,50%,0,0,
Logan Letourneau,7,2,4,50%,3,9,33%,5,13,38%,0,0,0%,13,5,1,6,0,1,0,2,0,0,0,20,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,41,61%,16,43,37%,41,84,49%,9,12,75%,107,24,13,34,8,2,0,7,2,0,0,139,59%,0,0,

