GAME STATS
PURPLE vs. BLUE
4/26/26, 11:00 AM
Regular Season

,1,2,Total
PURPLE,46,61,107
BLUE,35,26,61

VISITORS:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,4,9,44%,4,10,40%,8,19,42%,0,0,0%,20,4,2,0,0,0,0,0,1,0,0,14,52%,0,0,
Brock Carpenter ,0,5,7,71%,1,3,33%,6,10,60%,0,0,0%,13,0,4,7,0,0,0,0,1,0,0,19,65%,0,0,
Jimmy Warden ,7,2,7,29%,2,5,40%,4,12,33%,0,0,0%,10,3,1,7,1,1,0,1,2,0,0,13,41%,0,0,
Kaleb Swetty,4,1,3,33%,2,8,25%,3,11,27%,0,0,0%,8,6,1,4,0,0,0,1,3,0,0,9,36%,0,0,
Mark Nigolian,2,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,1,2,0,1,0,0,0,0,0,0,2,25%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,2,2,100%,0,1,0%,2,3,67%,0,0,0%,4,0,1,8,3,0,0,0,0,0,0,12,66%,0,0,
Tre Grubbs ,8,6,9,67%,5,7,71%,11,16,69%,0,0,0%,27,1,2,10,0,0,0,0,1,0,0,34,84%,0,1,
Trevis Buckhannon,1,9,15,60%,0,1,0%,9,16,56%,5,8,63%,23,0,8,12,1,2,0,1,0,0,0,36,58%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,30,54,56%,14,37,38%,44,91,48%,5,8,63%,107,15,21,48,6,3,0,3,8,0,0,139,56%,0,1,

HOME:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,1,7,14%,1,5,20%,2,12,17%,0,0,0%,5,2,2,3,2,1,0,0,2,0,0,1,20%,0,0,
Jack McCoy,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
James Hare,3,0,6,0%,2,15,13%,2,21,10%,0,0,0%,6,4,2,3,0,0,0,0,1,0,0,-5,14%,0,0,
Joe Ruggles,8,2,6,33%,5,12,42%,7,18,39%,0,0,0%,19,1,1,3,0,0,0,1,1,0,0,13,52%,0,0,
Matt Spear,5,2,5,40%,1,8,13%,3,13,23%,2,2,100%,9,3,0,4,0,0,0,2,2,0,0,6,32%,0,1,
Nick Lynn,1,3,8,38%,4,7,57%,7,15,47%,0,0,0%,18,2,8,3,2,0,0,2,1,0,0,24,60%,0,1,
Pete Lindholm,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Robert Yefchak,2,0,2,0%,0,1,0%,0,3,0%,0,0,0%,0,0,1,3,0,0,0,0,0,0,0,1,0%,0,0,
Wyatt Jarvis-Comi,7,1,3,33%,0,4,0%,1,7,14%,2,2,100%,4,0,2,1,0,0,0,0,0,0,0,1,25%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,9,37,24%,13,52,25%,22,89,25%,4,4,100%,61,12,16,20,4,1,0,5,7,0,0,41,33%,0,2,

