GAME STATS
Pink vs. Purple
7/19/26, 10:09 AM
Regular Season

,1,2,Total
Pink,27,30,57
Purple,30,35,65

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,4,9,44%,4,12,33%,8,21,38%,5,8,63%,25,0,2,8,0,0,0,3,4,0,0,18,50%,0,3,
Hans Lynn,7,3,6,50%,0,0,0%,3,6,50%,0,0,0%,6,2,0,4,1,0,0,1,0,0,0,10,50%,0,0,
Jeromy Anderson,0,2,3,67%,0,0,0%,2,3,67%,1,2,50%,5,2,2,4,0,0,0,1,0,0,0,12,64%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joe Luiz,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Obrien,5,2,2,100%,0,1,0%,2,3,67%,0,0,0%,4,1,1,6,1,0,0,1,4,0,0,8,66%,0,0,
Matt Riordan,1,6,15,40%,0,4,0%,6,19,32%,5,6,83%,17,3,2,6,3,0,0,2,4,0,0,12,39%,0,1,
Tavian Barrino,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,35,49%,4,17,24%,21,52,40%,11,16,69%,57,8,7,28,5,0,0,8,12,0,0,60,48%,0,4,

HOME:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,0,0,0%,3,9,33%,3,9,33%,0,0,0%,9,1,0,0,2,0,0,0,1,0,0,3,50%,0,0,
Brody Snow,4,4,8,50%,0,0,0%,4,8,50%,2,4,50%,10,2,3,3,1,0,0,2,5,0,0,9,51%,0,0,
Dennis Schut,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Drew Fisher,2,2,3,67%,1,6,17%,3,9,33%,0,0,0%,7,2,3,7,2,2,0,0,2,0,0,13,38%,0,0,
Dylan Pratico,1,2,4,50%,4,10,40%,6,14,43%,1,2,50%,17,3,0,5,3,0,0,0,0,0,0,16,57%,0,1,
Ethan Calle,6,0,1,0%,0,2,0%,0,3,0%,0,0,0%,0,1,0,0,0,0,0,0,1,0,0,-3,0%,0,2,
Kevin Garrison,0,3,6,50%,4,12,33%,7,18,39%,1,2,50%,19,3,2,7,0,3,0,4,1,0,0,25,50%,0,0,
Logan Pelchar,3,0,0,0%,1,4,25%,1,4,25%,0,0,0%,3,0,0,1,1,0,0,0,0,0,0,1,37%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,11,22,50%,13,43,30%,24,65,37%,4,8,50%,65,12,8,23,9,5,0,6,10,0,0,64,47%,0,3,

