GAME STATS
RED vs. PINK
4/26/26, 10:00 AM
Regular Season

,1,2,Total
RED,56,29,85
PINK,50,49,99

VISITORS:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Emin Kekic ,4,1,3,33%,0,3,0%,1,6,17%,0,0,0%,2,1,6,6,3,1,0,1,1,0,0,11,16%,0,0,
Jibeil Abdullahi,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Josh Carter,7,9,18,50%,5,12,42%,14,30,47%,1,3,33%,34,0,2,4,3,0,0,2,2,0,0,22,54%,0,0,
Kolby Bradford,3,4,10,40%,1,7,14%,5,17,29%,1,2,50%,12,4,1,1,1,0,1,2,2,0,0,5,33%,0,1,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Tobin,2,4,6,67%,0,2,0%,4,8,50%,0,1,0%,8,1,2,3,0,0,0,1,0,0,0,10,47%,0,0,
Sub Picard,00,1,8,13%,1,4,25%,2,12,17%,0,0,0%,5,3,3,2,3,0,0,1,0,0,0,4,20%,0,0,
Will Ewald,5,3,7,43%,6,17,35%,9,24,38%,0,0,0%,24,4,4,9,3,3,0,2,0,0,0,31,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,52,42%,13,45,29%,35,97,36%,2,6,33%,85,13,18,25,13,4,1,9,5,0,0,83,42%,0,1,

HOME:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,1,5,20%,1,2,50%,2,7,29%,0,2,0%,5,1,2,4,4,0,0,0,0,0,0,5,31%,0,0,
Cody Jarvis ,2,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-2,0%,0,0,
Edo Semic ,5,1,1,100%,2,3,67%,3,4,75%,0,0,0%,8,1,0,4,1,0,0,0,1,0,0,11,100%,0,1,
Jack Lloyd ,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Haley,8,2,5,40%,7,13,54%,9,18,50%,3,4,75%,28,3,2,19,1,0,0,1,5,0,0,38,70%,0,0,
Liam Walsh ,3,9,10,90%,0,3,0%,9,13,69%,6,9,67%,24,5,4,2,0,1,0,3,1,0,0,31,70%,0,0,
Max Taylor ,4,2,6,33%,1,3,33%,3,9,33%,0,2,0%,7,3,3,2,2,0,0,0,1,0,0,6,35%,0,0,
Tyrone Conley,1,7,12,58%,4,9,44%,11,21,52%,1,2,50%,27,8,3,10,0,0,0,1,1,0,0,37,61%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,39,56%,15,35,43%,37,74,50%,10,19,53%,99,21,14,41,8,1,0,5,9,0,0,126,60%,0,1,

