GAME STATS
WHITE vs. TAN
4/26/26, 8:00 AM
Regular Season

,1,2,Total
WHITE,38,63,101
TAN,27,25,52

VISITORS:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,4,8,50%,0,6,0%,4,14,29%,0,0,0%,8,1,1,5,2,0,0,3,0,0,0,8,28%,0,0,
Donnie Dwyer,7,12,20,60%,6,14,43%,18,34,53%,4,8,50%,46,1,8,10,3,0,0,1,4,0,0,42,61%,0,0,
Hans Lynn,4,2,7,29%,0,0,0%,2,7,29%,0,0,0%,4,0,2,3,1,0,0,0,0,0,0,4,28%,0,0,
John Helsel,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John O'Brien,3,2,3,67%,0,1,0%,2,4,50%,0,0,0%,4,0,1,4,0,0,0,1,1,0,0,7,50%,0,0,
Matt Riordan ,1,9,12,75%,0,2,0%,9,14,64%,1,1,100%,19,10,2,11,1,0,0,2,0,0,0,39,65%,0,0,
Tavian Barrino,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Zaire Wilson,2,7,11,64%,2,4,50%,9,15,60%,0,2,0%,20,9,4,11,2,0,0,3,5,0,0,34,62%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,36,61,59%,8,27,30%,44,88,50%,5,11,45%,101,21,18,44,9,0,0,10,10,0,0,134,54%,0,0,

HOME:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,0,3,0%,3,10,30%,3,13,23%,1,2,50%,10,3,0,4,3,0,0,1,4,0,0,3,36%,0,1,
Brody Snow,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cory Chaplin ,1,1,4,25%,3,15,20%,4,19,21%,0,2,0%,11,4,0,3,1,0,1,1,4,0,0,-2,27%,1,1,
Devin Bradford ,0,2,7,29%,0,3,0%,2,10,20%,2,4,50%,6,6,0,7,3,0,0,0,3,0,0,6,25%,0,0,
Hakeem Faud ,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jeremy Franklin ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard,8,9,15,60%,2,7,29%,11,22,50%,1,2,50%,25,2,1,8,2,0,1,2,4,0,0,22,54%,0,0,
Logan Pelchar,3,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,3,3,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,29,41%,8,37,22%,20,66,30%,4,10,40%,52,15,1,25,12,0,2,4,15,0,0,30,36%,1,2,

