GAME STATS
White  vs. Red
7/19/26, 9:00 AM
Regular Season

,1,2,Total
White ,38,44,82
Red,26,51,77

VISITORS:  White 
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic,2,5,9,56%,3,5,60%,8,14,57%,0,1,0%,19,1,3,7,6,0,0,2,0,0,0,25,65%,0,0,
Colin Chicoine,8,0,3,0%,0,3,0%,0,6,0%,2,2,100%,2,2,2,1,0,0,0,0,1,0,0,0,14%,0,0,
Devin Bradford,0,1,3,33%,1,7,14%,2,10,20%,2,4,50%,7,6,0,3,4,0,0,2,2,0,0,6,29%,0,1,
Edo Semic,9,1,1,100%,4,6,67%,5,7,71%,0,0,0%,14,1,1,1,0,0,0,0,0,0,0,15,100%,0,0,
Keenan Chicone,6,0,2,0%,0,0,0%,0,2,0%,2,2,100%,2,1,1,0,3,0,0,1,1,0,0,2,34%,0,0,
Kolby Bradford,4,3,4,75%,1,3,33%,4,7,57%,5,6,83%,14,2,1,7,1,0,0,3,4,0,0,19,72%,0,0,
Tyrone Conley,1,5,6,83%,3,10,30%,8,16,50%,5,6,83%,24,4,1,4,0,0,0,3,1,0,0,26,64%,0,0,
Wyatt Messier,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,28,54%,12,34,35%,27,62,44%,16,21,76%,82,17,9,23,14,0,0,11,9,0,0,93,57%,0,1,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,7,11,64%,2,9,22%,9,20,45%,2,2,100%,22,2,2,6,2,0,0,0,0,0,0,21,52%,0,0,
Jaren Jeffcoat,3,4,12,33%,0,0,0%,4,12,33%,6,9,67%,14,2,8,7,5,0,0,0,1,0,0,19,43%,0,0,
Jason West,5,4,5,80%,0,3,0%,4,8,50%,0,0,0%,8,2,0,3,0,1,0,1,0,0,0,11,50%,0,1,
Joel McMahon,7,2,2,100%,1,3,33%,3,5,60%,0,0,0%,7,0,0,0,1,0,0,0,1,0,0,4,70%,0,1,
Suave,0,2,5,40%,0,5,0%,2,10,20%,1,4,25%,5,3,0,4,1,0,0,2,5,0,0,-2,21%,0,1,
Tim Lemieux,1,3,3,100%,0,2,0%,3,5,60%,0,0,0%,6,0,3,1,0,0,0,0,2,0,0,6,60%,0,0,
Timmy Ashley,6,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,1,0,3,1,0,0,0,0,0,0,3,0%,0,0,
Will Oboh,2,2,5,40%,3,4,75%,5,9,56%,2,4,50%,15,3,4,1,3,0,0,2,2,0,0,17,69%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,43,56%,6,27,22%,30,70,43%,11,19,58%,77,13,17,25,13,1,0,5,11,0,0,79,49%,0,3,

