GAME STATS
BLUE vs. BLACK
5/3/26, 5:03 PM
Regular Season

,1,2,Total
BLUE,41,44,85
BLACK,39,51,90

VISITORS:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,1,3,33%,0,0,0%,1,3,33%,0,1,0%,2,0,2,4,4,1,0,0,0,0,0,6,29%,0,0,
Jack McCoy,00,13,27,48%,1,5,20%,14,32,44%,8,16,50%,37,1,4,9,3,0,0,2,2,0,0,25,47%,0,1,
James Hare,3,3,4,75%,2,5,40%,5,9,56%,0,0,0%,12,2,1,4,2,0,0,0,0,0,0,15,66%,0,1,
Joe Ruggles,8,0,0,0%,7,12,58%,7,12,58%,0,0,0%,21,1,1,3,1,0,0,0,1,0,0,20,87%,0,0,
Matt Spear,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,1,3,5,60%,0,1,0%,3,6,50%,0,2,0%,6,2,2,4,1,0,0,1,0,0,0,10,43%,0,0,
Pete Lindholm,4,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,1,3,4,0,0,0,0,0,0,2,0%,0,0,
Robert Yefchak,2,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,0,0%,0,0,
Wyatt Jarvis-Comi,7,2,2,100%,1,3,33%,3,5,60%,0,0,0%,7,1,0,1,0,0,0,0,0,0,0,7,70%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,42,52%,11,28,39%,33,70,47%,8,19,42%,85,7,11,29,16,1,0,3,3,0,0,85,54%,0,2,

HOME:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,0,1,0%,3,4,75%,3,5,60%,0,0,0%,9,0,0,1,0,0,0,0,0,0,0,8,90%,0,0,
Chris Cayole ,0,9,15,60%,9,20,45%,18,35,51%,5,5,100%,50,4,1,7,2,1,0,2,1,0,0,47,67%,0,0,
Cyle Chappy,2,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,1,0,1,1,0,0,0,0,0,0,3,50%,0,0,
Denis Schut,1,0,4,0%,1,2,50%,1,6,17%,0,0,0%,3,0,3,2,3,0,0,0,0,0,0,3,25%,0,0,
Kenny Black ,8,1,3,33%,1,2,50%,2,5,40%,0,0,0%,5,0,1,2,1,1,1,0,1,0,0,5,50%,0,0,
Nate Merrill ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan ,7,3,7,43%,1,5,20%,4,12,33%,4,7,57%,13,4,1,9,4,1,0,0,2,0,0,15,43%,0,0,
Sub Nate,00,1,2,50%,1,1,100%,2,3,67%,0,0,0%,5,0,0,1,2,0,0,0,0,0,0,5,83%,0,0,
Tanner Freeman ,3,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,2,1,3,3,0,0,0,0,0,0,6,33%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,34,44%,17,38,45%,32,72,44%,9,12,75%,90,11,7,26,16,3,1,2,4,0,0,92,58%,0,0,

