GAME STATS
BLUE vs. ORANGE
5/3/26, 3:08 PM
Regular Season

,1,2,Total
BLUE,26,36,62
ORANGE,28,24,52

VISITORS:  BLUE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,2,5,40%,2,5,40%,4,10,40%,0,0,0%,10,1,4,5,4,2,0,0,0,0,0,16,50%,0,0,
Jack McCoy,00,8,18,44%,1,8,13%,9,26,35%,4,7,57%,23,1,3,8,0,1,0,3,1,0,0,18,39%,0,0,
James Hare,3,0,1,0%,3,8,38%,3,9,33%,0,1,0%,9,2,1,3,3,0,0,0,2,0,0,6,47%,0,0,
Joe Ruggles,8,1,2,50%,2,6,33%,3,8,38%,2,2,100%,10,1,1,0,0,0,0,2,0,0,0,9,56%,0,0,
Matt Spear,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,1,0,1,0%,0,5,0%,0,6,0%,0,0,0%,0,1,3,6,0,0,0,1,0,0,0,5,0%,0,0,
Pete Lindholm,4,1,3,33%,1,4,25%,2,7,29%,2,2,100%,7,1,2,5,3,0,0,0,0,0,0,10,44%,0,0,
Robert Yefchak,2,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,1,0,2,0,0,0,0,1,0,0,1,0%,0,0,
Wyatt Jarvis-Comi,7,0,1,0%,1,2,50%,1,3,33%,0,0,0%,3,0,3,2,1,0,0,0,0,0,0,6,50%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,32,38%,10,38,26%,22,70,31%,8,12,67%,62,8,17,31,11,3,0,6,4,0,0,71,41%,0,0,

HOME:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,0,2,0%,1,5,20%,1,7,14%,0,0,0%,3,2,1,4,1,0,0,0,0,0,0,4,21%,0,0,
Eleizer Perez Jr. ,0,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,3,0,2,3,0,0,1,2,0,0,3,0%,0,0,
Jason West,5,5,6,83%,2,6,33%,7,12,58%,1,3,33%,17,1,1,3,1,0,0,1,0,0,0,16,63%,0,0,
Paul Gutierrez,1,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,-1,0%,0,0,
Timmy Ashley,4,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,1,2,4,1,0,0,0,0,0,0,6,25%,0,0,
Trent Roleau,8,7,16,44%,0,4,0%,7,20,35%,3,6,50%,17,2,5,10,2,0,1,1,1,0,0,18,37%,0,0,
Walker Storey,7,1,3,33%,2,7,29%,3,10,30%,0,0,0%,8,1,2,4,1,0,0,0,1,0,0,7,40%,0,0,
Will Oboh,2,0,6,0%,1,5,20%,1,11,9%,2,2,100%,5,0,1,1,3,0,0,0,2,0,0,-5,21%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,35,40%,6,32,19%,20,67,30%,6,11,55%,52,11,12,28,13,0,1,3,6,0,0,48,36%,0,0,

