GAME STATS
GRAY vs. GREEN
5/3/26, 12:03 PM
Regular Season

,1,2,Total
GRAY,32,42,74
GREEN,45,38,83

VISITORS:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,1,1,100%,0,3,0%,1,4,25%,0,0,0%,2,1,0,1,2,0,0,0,1,0,0,0,25%,0,0,
Drew Fisher,3,0,0,0%,0,0,0%,0,0,0%,2,2,100%,2,0,0,0,0,0,0,0,0,0,0,2,113%,0,0,
Dylan Pratico ,1,0,2,0%,0,1,0%,0,3,0%,0,0,0%,0,0,0,0,2,0,0,1,0,0,0,-2,0%,0,1,
Ethan Calle,2,1,2,50%,1,2,50%,2,4,50%,0,0,0%,5,0,0,3,4,0,1,0,0,0,0,6,62%,0,1,
Kevin Garrison,5,6,12,50%,6,12,50%,12,24,50%,13,15,87%,43,3,4,13,2,0,0,1,2,0,0,48,70%,0,0,
Kyle DeCoster,4,3,4,75%,0,2,0%,3,6,50%,0,0,0%,6,3,1,5,2,0,0,1,2,0,0,11,50%,0,0,
Manny Robertson,8,1,6,17%,3,6,50%,4,12,33%,0,0,0%,11,0,0,4,2,0,0,1,1,0,0,7,45%,0,0,
Myles Robertson,7,1,2,50%,1,4,25%,2,6,33%,0,2,0%,5,0,1,1,1,0,0,1,0,0,0,2,36%,0,2,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,29,45%,11,30,37%,24,59,41%,15,19,79%,74,7,6,27,15,0,1,5,6,0,0,74,54%,0,4,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,6,11,55%,4,10,40%,10,21,48%,2,2,100%,26,7,0,5,1,0,0,4,1,0,0,30,59%,0,0,
Asko Mostarlic,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,2,7,12,58%,0,0,0%,7,12,58%,6,6,100%,20,3,1,9,4,0,1,1,2,0,0,27,68%,0,0,
Jeromy Anderson,6,2,5,40%,0,0,0%,2,5,40%,0,1,0%,4,0,3,1,4,0,0,0,0,0,0,4,36%,0,0,
Jerrick Jacobs,1,0,4,0%,4,7,57%,4,11,36%,0,0,0%,12,0,0,0,4,0,0,0,1,0,0,4,54%,0,0,
Kerry Lyons,8,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,1,0,5,1,1,0,0,1,0,0,6,33%,0,0,
Mahlik Franklin,3,4,5,80%,3,4,75%,7,9,78%,0,0,0%,17,3,0,8,2,1,0,2,2,0,0,27,94%,0,0,
Ty Grizzly Gray,4,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,0,0,1,0,0,0,0,0,0,0,1,33%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,41,51%,11,23,48%,32,64,50%,8,9,89%,83,14,4,29,16,2,1,7,7,0,0,99,61%,0,0,

