GAME STATS
GRAY vs. TAN
5/3/26, 4:08 PM
Regular Season

,1,2,Total
GRAY,16,35,51
TAN,20,17,37

VISITORS:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,4,2,2,2,0,0,0,0,0,0,6,0%,0,0,
Drew Fisher,3,1,2,50%,0,1,0%,1,3,33%,1,2,50%,3,1,0,4,2,0,0,0,0,0,0,5,38%,0,0,
Dylan Pratico ,1,1,3,33%,3,4,75%,4,7,57%,0,0,0%,11,1,1,3,1,0,1,1,1,0,0,13,78%,0,0,
Ethan Calle,2,0,2,0%,0,2,0%,0,4,0%,0,0,0%,0,0,1,1,2,0,0,0,0,0,0,-2,0%,0,0,
Kevin Garrison,5,0,2,0%,3,11,27%,3,13,23%,2,2,100%,11,2,2,9,1,0,0,3,1,0,0,16,39%,0,1,
Kyle DeCoster,4,5,9,56%,2,4,50%,7,13,54%,1,1,100%,17,0,1,7,3,0,1,2,1,0,0,20,63%,0,0,
Manny Robertson,8,0,2,0%,3,6,50%,3,8,38%,0,0,0%,9,0,0,2,2,0,0,0,1,0,0,5,56%,0,2,
Myles Robertson,7,0,2,0%,0,3,0%,0,5,0%,0,0,0%,0,0,0,0,0,0,1,1,2,0,0,-6,0%,0,1,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,7,22,32%,11,33,33%,18,55,33%,4,5,80%,51,8,7,28,13,0,3,7,6,0,0,57,44%,0,4,

HOME:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,0,0,0%,0,5,0%,0,5,0%,1,2,50%,1,1,0,2,1,0,0,0,0,0,0,-2,8%,0,0,
Brody Snow,2,5,7,71%,0,1,0%,5,8,63%,3,8,38%,13,1,4,5,2,1,0,0,2,0,0,14,56%,0,0,
Cory Chaplin ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford ,0,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,0,0%,0,0,
Hakeem Faud ,7,3,10,30%,1,7,14%,4,17,24%,0,0,0%,9,1,0,7,6,0,0,0,4,0,0,0,26%,0,0,
Jeremy Franklin ,5,1,2,50%,0,2,0%,1,4,25%,1,4,25%,3,3,2,6,1,0,0,0,6,0,0,2,26%,0,0,
Kyle Picard,8,3,7,43%,1,4,25%,4,11,36%,2,5,40%,11,1,1,2,2,0,1,1,4,0,0,2,41%,0,0,
Logan Pelchar,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,26,46%,2,20,10%,14,46,30%,7,19,37%,37,7,7,23,13,1,1,1,16,0,0,16,34%,0,0,

