GAME STATS
Green vs. Black
7/26/26, 10:06 AM
Regular Season

,1,2,Total
Green,30,29,59
Black,37,40,77

VISITORS:  Green
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Austin Hamlin,3,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,1,0,1,1,0,0,0,0,0,0,0,20%,0,0,
Brandon Boyer,0,1,4,25%,1,6,17%,2,10,20%,0,0,0%,5,1,1,7,0,0,0,0,1,0,0,5,25%,0,0,
Calder Horowitz McCadden,0,5,10,50%,3,9,33%,8,19,42%,2,5,40%,21,4,4,7,2,0,0,1,8,0,0,15,49%,0,1,
Jibril Abdullahi,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Lynn,2,9,13,69%,0,4,0%,9,17,53%,0,0,0%,18,1,7,5,0,1,0,2,0,0,0,26,52%,0,0,
Paddy Monaghan,1,0,7,0%,0,1,0%,0,8,0%,0,0,0%,0,3,3,8,2,0,0,0,0,0,0,6,0%,0,2,
Wyatt Jarvis Comi,8,5,10,50%,1,8,13%,6,18,33%,0,0,0%,13,2,2,5,1,0,0,0,0,0,0,10,36%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,21,47,45%,5,30,17%,26,77,34%,2,5,40%,59,12,17,33,6,1,0,3,9,0,0,62,37%,0,4,

HOME:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Thompson,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kaleb Sweaty,7,2,2,100%,1,4,25%,3,6,50%,0,0,0%,7,6,1,2,0,0,0,0,2,0,0,11,58%,0,0,
Kyle Picard ,9,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,2,0,1,0,0,0,0,0,0,0,2,0%,0,1,
Liam Walsh,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Nick Galuszka,2,3,6,50%,0,5,0%,3,11,27%,0,0,0%,6,4,2,5,1,0,0,2,1,0,0,10,27%,0,0,
Seth Jackson,1,1,3,33%,4,10,40%,5,13,38%,3,4,75%,17,2,0,3,1,0,0,0,1,0,0,12,57%,0,0,
Tarvarius Vance,3,3,6,50%,7,16,44%,10,22,45%,1,1,100%,28,3,1,5,1,0,0,0,4,0,0,21,62%,0,1,
Ty Gray,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2,0,5,0,0,0,2,0,0,0,9,0%,0,0,
Will Ameden,4,3,4,75%,4,9,44%,7,13,54%,1,2,50%,19,2,1,7,2,1,0,4,2,0,0,25,68%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,21,57%,16,45,36%,28,66,42%,5,7,71%,77,21,5,28,5,1,0,8,10,0,0,90,55%,0,2,

