GAME STATS
Orange vs. Red
7/26/26, 11:07 AM
Regular Season

,1,2,Total
Orange,33,51,84
Red,25,37,62

VISITORS:  Orange
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Caleb Jarvis Comi,2,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,2,0,0,0,1,0,0,0,1,0%,0,0,
James Hare,1,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,3,0,1,1,0,0,0,0,0,0,5,50%,0,0,
Jordan Sanderson,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Josh Carter,7,9,12,75%,1,2,50%,10,14,71%,0,0,0%,21,8,2,4,1,0,0,0,2,0,0,29,75%,1,0,
Kenny Black,4,2,3,67%,1,3,33%,3,6,50%,2,2,100%,9,0,1,1,1,0,0,0,1,0,0,7,65%,0,1,
Paul Gutierrez,5,2,3,67%,0,1,0%,2,4,50%,0,0,0%,4,2,2,1,0,0,0,0,0,0,0,7,50%,0,0,
Spook McQueen,8,0,4,0%,0,0,0%,0,4,0%,1,2,50%,1,1,2,2,2,0,1,2,2,0,0,1,10%,0,0,
Stanley Salley,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan,3,6,8,75%,9,15,60%,15,23,65%,1,1,100%,40,1,3,12,4,1,0,1,3,0,0,47,85%,0,0,
Will Ewald,6,0,1,0%,2,6,33%,2,7,29%,0,0,0%,6,3,0,5,3,1,0,1,1,0,0,10,42%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,31,61%,14,32,44%,33,63,52%,4,5,80%,84,18,10,28,12,2,1,5,9,0,0,107,64%,1,1,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,9,13,69%,2,7,29%,11,20,55%,7,8,88%,31,1,1,4,1,0,0,0,0,0,0,27,65%,0,0,
Jaren Jeffcoat,3,5,12,42%,0,2,0%,5,14,36%,2,4,50%,12,0,3,5,1,1,0,2,0,0,0,12,38%,0,0,
Jason West,5,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,4,1,3,0,1,0,2,1,0,0,8,0%,0,0,
Joel McMahon,7,0,0,0%,0,0,0%,0,0,0%,1,2,50%,1,0,0,1,1,0,0,0,1,0,0,0,56%,0,0,
Suave,0,2,7,29%,0,0,0%,2,7,29%,2,2,100%,6,4,0,4,2,0,0,2,1,0,0,10,38%,0,0,
Tim Lemieux,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Timmy Ashley,6,1,2,50%,1,3,33%,2,5,40%,0,0,0%,5,0,0,2,1,0,0,0,0,0,0,4,50%,0,0,
Will Oboh,2,2,4,50%,0,5,0%,2,9,22%,3,4,75%,7,3,1,1,2,1,0,1,2,0,0,4,32%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,39,49%,3,18,17%,22,57,39%,15,20,75%,62,12,6,20,8,3,0,7,5,0,0,65,47%,0,0,

