GAME STATS
PINK vs. GREEN
5/3/26, 9:07 AM
Regular Season

,1,2,Total
PINK,24,24,48
GREEN,40,32,72

VISITORS:  PINK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aid Semic ,0,1,4,25%,0,2,0%,1,6,17%,0,0,0%,2,1,3,6,3,0,0,0,0,0,0,7,16%,0,0,
Cody Jarvis ,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Edo Semic ,5,1,1,100%,1,4,25%,2,5,40%,0,0,0%,5,0,0,2,4,0,0,1,1,0,0,4,50%,0,0,
Jack Lloyd ,7,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,1,0,2,0,0,0,1,0,0,-1,0%,0,0,
Kyle Haley,8,1,4,25%,1,10,10%,2,14,14%,0,0,0%,5,5,3,6,1,0,0,0,4,0,0,3,17%,0,0,
Liam Walsh ,3,10,16,63%,1,4,25%,11,20,55%,2,2,100%,25,0,4,4,2,0,0,0,3,0,0,21,59%,0,0,
Max Taylor ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tyrone Conley,1,2,6,33%,2,10,20%,4,16,25%,1,5,20%,11,6,0,12,3,0,0,1,1,0,0,13,30%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,32,47%,5,30,17%,20,62,32%,3,7,43%,48,12,11,30,15,0,0,2,10,0,0,47,36%,0,0,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,3,4,75%,2,5,40%,5,9,56%,4,5,80%,16,6,0,2,0,0,0,3,2,0,0,20,71%,0,0,
Asko Mostarlic,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,2,6,11,55%,2,2,100%,8,13,62%,4,6,67%,22,0,1,6,2,1,0,1,1,0,0,23,70%,0,0,
Jeromy Anderson,6,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,1,1,0,0,0,0,0,0,0,0,3,50%,0,0,
Jerrick Jacobs,1,3,6,50%,3,9,33%,6,15,40%,0,0,0%,15,0,1,4,1,0,0,1,0,0,0,12,50%,0,2,
Kerry Lyons,8,1,3,33%,0,1,0%,1,4,25%,0,0,0%,2,6,2,8,2,0,0,0,1,0,0,14,25%,0,0,
Mahlik Franklin,3,4,11,36%,0,5,0%,4,16,25%,2,2,100%,10,5,3,7,3,0,0,2,1,0,0,14,29%,0,0,
Ty Grizzly Gray,4,0,2,0%,1,1,100%,1,3,33%,2,3,67%,5,0,1,5,0,0,0,0,0,0,0,8,57%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,39,46%,8,23,35%,26,62,42%,12,16,75%,72,18,9,32,8,1,0,7,5,0,0,94,52%,0,3,

