GAME STATS
PURPLE vs. WHITE
5/3/26, 8:00 AM
Regular Season

,1,2,Total
PURPLE,45,38,83
WHITE,50,44,94

VISITORS:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brock Carpenter ,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jimmy Warden ,7,4,9,44%,3,8,38%,7,17,41%,0,5,0%,17,5,0,7,2,1,1,2,3,0,0,14,44%,0,0,
Kaleb Swetty,4,8,13,62%,4,10,40%,12,23,52%,5,6,83%,33,1,2,1,3,1,1,0,1,0,0,25,64%,0,0,
Mark Nigolian,2,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,1,0,0,2,0,0,0,0,0,0,2,50%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tre Grubbs ,8,4,7,57%,2,5,40%,6,12,50%,0,0,0%,14,2,1,3,3,0,0,1,2,0,0,13,58%,0,1,
Trevis Buckhannon,1,7,16,44%,0,1,0%,7,17,41%,3,6,50%,17,3,11,13,0,2,0,1,0,0,0,34,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,47,51%,9,24,38%,33,71,46%,8,17,47%,83,12,14,24,10,4,2,4,6,0,0,88,52%,0,1,

HOME:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Donnie Dwyer,7,6,11,55%,5,12,42%,11,23,48%,4,4,100%,31,0,2,10,4,0,0,1,3,0,0,29,62%,0,0,
Hans Lynn,4,1,3,33%,0,0,0%,1,3,33%,0,0,0%,2,0,0,0,2,0,0,0,0,0,0,0,33%,0,0,
John Helsel,0,5,10,50%,0,0,0%,5,10,50%,3,3,100%,13,0,4,2,0,0,0,2,2,0,0,14,57%,0,0,
John O'Brien,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,2,2,0,0,0,0,0,0,2,0%,0,0,
Matt Riordan ,1,4,6,67%,1,2,50%,5,8,63%,1,5,20%,12,8,3,5,3,1,0,1,2,0,0,21,58%,0,0,
Tavian Barrino,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Zaire Wilson,2,16,23,70%,1,7,14%,17,30,57%,1,1,100%,36,6,0,7,1,0,0,0,2,0,0,34,59%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,32,53,60%,7,21,33%,39,74,53%,9,13,69%,94,14,9,26,12,1,0,4,9,0,0,100,58%,0,0,

