GAME STATS
Pink vs. Blue
7/26/26, 9:07 AM
Regular Season

,1,2,Total
Pink,37,24,61
Blue,34,40,74

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,1,4,25%,4,12,33%,5,16,31%,2,2,100%,16,1,2,8,2,0,0,0,6,0,0,10,47%,0,0,
Hans Lynn,7,1,3,33%,0,0,0%,1,3,33%,0,0,0%,2,1,0,2,1,0,0,0,0,0,0,3,33%,0,0,
Jeromy Anderson,0,1,3,33%,0,0,0%,1,3,33%,0,2,0%,2,1,1,3,1,0,0,2,1,0,0,4,25%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joe Luiz,8,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,2,0,6,4,1,0,0,2,0,0,6,0%,0,0,
John Obrien,5,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,0,1,0,1,0,0,0,0,0,0,3,100%,0,0,
Matt Riordan,1,3,6,50%,1,3,33%,4,9,44%,2,5,40%,11,5,2,7,1,0,0,2,1,0,0,18,49%,0,0,
Tavian Barrino,3,8,15,53%,3,7,43%,11,22,50%,3,5,60%,28,2,3,8,4,0,0,1,4,0,0,25,57%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,32,47%,8,23,35%,23,55,42%,7,14,50%,61,12,9,34,14,1,0,5,14,0,0,69,49%,0,0,

HOME:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Bela Dobkowski,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2,4,4,5,1,0,1,0,0,0,12,0%,0,0,
Braeden Elnicki,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,5,5,10,50%,2,8,25%,7,18,39%,3,5,60%,19,1,0,4,1,0,0,2,0,0,0,13,47%,0,0,
Cam Perta,0,0,0,0%,1,7,14%,1,7,14%,0,0,0%,3,0,0,3,2,0,0,0,1,0,0,-1,21%,0,0,
Drew Pelkey,6,4,10,40%,3,6,50%,7,16,44%,4,4,100%,21,2,2,3,0,0,0,5,2,0,0,22,59%,0,0,
Dylan Mackie,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Elijah Tucker Bryant,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Henry Cogswell,2,3,10,30%,2,5,40%,5,15,33%,6,6,100%,18,3,2,4,5,0,0,1,2,0,0,16,51%,0,0,
Logan Letourneau,7,4,6,67%,1,9,11%,5,15,33%,2,4,50%,13,4,1,6,1,0,0,2,0,0,0,14,38%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,36,44%,9,35,26%,25,71,35%,15,19,79%,74,12,9,24,14,1,0,11,5,0,0,76,46%,0,0,

