GAME STATS
WHITE vs. RED
5/3/26, 10:58 AM
Regular Season

,1,2,Total
WHITE,28,53,81
RED,39,35,74

VISITORS:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,2,2,100%,0,0,0%,2,2,100%,0,0,0%,4,0,1,2,2,0,0,0,0,0,0,7,100%,0,0,
Donnie Dwyer,7,0,8,0%,4,7,57%,4,15,27%,7,10,70%,19,2,1,6,2,0,0,0,3,0,0,11,48%,0,0,
Hans Lynn,4,1,1,100%,0,0,0%,1,1,100%,0,0,0%,2,0,0,0,0,0,0,0,0,0,0,2,100%,0,0,
John Helsel,0,5,8,63%,1,2,50%,6,10,60%,2,4,50%,15,2,4,4,1,0,0,2,0,0,0,21,63%,0,0,
John O'Brien,3,0,3,0%,0,2,0%,0,5,0%,2,3,67%,2,0,0,2,0,0,0,0,0,0,0,-2,15%,0,0,
Matt Riordan ,1,2,7,29%,2,2,100%,4,9,44%,0,2,0%,10,4,1,11,3,0,0,2,0,0,0,21,50%,0,0,
Tavian Barrino,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Zaire Wilson,2,9,15,60%,3,3,100%,12,18,67%,2,3,67%,29,1,0,2,3,0,1,1,5,0,0,21,75%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,44,43%,10,16,63%,29,60,48%,13,22,59%,81,9,7,27,11,0,1,5,8,0,0,81,58%,0,1,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,6,9,67%,1,2,50%,7,11,64%,3,3,100%,18,0,3,2,5,1,0,0,2,0,0,18,73%,0,0,
Emin Kekic ,4,0,2,0%,0,1,0%,0,3,0%,0,0,0%,0,0,0,2,1,0,0,1,1,0,0,-1,0%,0,0,
Jibeil Abdullahi,8,6,14,43%,3,6,50%,9,20,45%,3,5,60%,24,2,0,7,4,1,0,2,1,0,0,22,54%,0,0,
Josh Carter,7,5,7,71%,0,3,0%,5,10,50%,1,2,50%,11,5,4,4,1,0,0,2,0,0,0,20,50%,0,0,
Kolby Bradford,3,2,7,29%,0,4,0%,2,11,18%,0,0,0%,4,1,2,2,2,0,1,2,1,0,0,1,18%,0,0,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Tobin,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Picard,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,5,6,13,46%,1,5,20%,7,18,39%,2,2,100%,17,0,5,8,2,2,0,0,1,0,0,20,45%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,52,48%,5,21,24%,30,73,41%,9,12,75%,74,8,14,25,15,4,1,7,6,0,0,80,47%,0,0,

