GAME STATS
YELLOW vs. ORANGE
5/3/26, 1:01 PM
Regular Season

,1,2,Total
YELLOW,28,33,61
ORANGE,23,35,58

VISITORS:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,1,2,50%,1,9,11%,2,11,18%,0,0,0%,5,2,0,3,2,0,0,0,1,0,0,0,22%,0,0,
Bela Dobkowski,3,2,2,100%,0,1,0%,2,3,67%,0,0,0%,4,1,0,4,3,0,0,0,0,0,0,8,66%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,0,0,0%,2,8,25%,2,8,25%,0,0,0%,6,0,0,1,2,0,0,1,0,0,0,2,37%,0,0,
Drew Pelkey,8,2,8,25%,1,4,25%,3,12,25%,2,3,67%,9,1,5,4,3,0,0,0,0,0,0,9,33%,0,0,
Dylan Mackie,5,2,4,50%,3,4,75%,5,8,63%,2,4,50%,15,2,0,9,3,0,0,0,1,0,0,20,76%,0,0,
Graden Conger,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Strickland,2,1,2,50%,0,0,0%,1,2,50%,0,0,0%,2,1,3,1,5,0,0,0,2,0,0,4,50%,1,0,
Logan Letourneau,4,1,1,100%,5,14,36%,6,15,40%,3,4,75%,20,3,1,5,3,0,0,1,2,0,0,18,59%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,9,19,47%,12,40,30%,21,59,36%,7,11,64%,61,10,9,27,21,0,0,2,6,0,0,61,47%,1,1,

HOME:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,1,1,100%,2,6,33%,3,7,43%,1,2,50%,9,2,1,1,2,0,0,0,0,0,0,8,57%,0,1,
Eleizer Perez Jr. ,0,0,1,0%,0,1,0%,0,2,0%,2,2,100%,2,0,0,0,1,0,0,0,1,0,0,-1,34%,0,0,
Jason West,5,3,7,43%,1,2,50%,4,9,44%,2,4,50%,11,2,1,5,3,0,0,0,0,0,0,12,51%,0,0,
Paul Gutierrez,1,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,0,2,1,2,0,0,0,0,0,0,2,0%,0,0,
Timmy Ashley,4,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-2,0%,0,0,
Trent Roleau,8,3,12,25%,2,7,29%,5,19,26%,2,4,50%,14,0,5,11,4,0,0,1,1,0,0,14,33%,0,0,
Walker Storey,7,3,4,75%,0,8,0%,3,12,25%,3,4,75%,9,3,1,5,0,0,0,0,0,0,0,8,32%,0,4,
Will Oboh,2,2,8,25%,2,3,67%,4,11,36%,3,5,60%,13,0,3,6,4,0,0,5,2,0,0,16,49%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,33,36%,7,29,24%,19,62,31%,13,22,59%,58,7,13,29,16,0,0,6,4,0,0,57,40%,0,5,

