GAME STATS
YELLOW vs. PURPLE
5/3/26, 10:02 AM
Regular Season

,1,2,Total
YELLOW,21,24,45
PURPLE,41,44,85

VISITORS:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,0,2,0%,3,11,27%,3,13,23%,0,0,0%,9,1,1,4,1,0,0,0,0,0,0,5,34%,0,0,
Bela Dobkowski,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,3,0,0,0,0,0,0,3,0%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,0,0,0%,2,11,18%,2,11,18%,0,0,0%,6,0,1,5,0,0,0,0,0,0,0,3,27%,0,0,
Drew Pelkey,8,3,9,33%,3,9,33%,6,18,33%,4,4,100%,19,0,3,5,1,1,0,1,3,0,0,14,48%,0,0,
Dylan Mackie,5,1,4,25%,0,6,0%,1,10,10%,0,0,0%,2,5,1,2,2,0,0,0,3,0,0,-2,10%,0,0,
Graden Conger,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Strickland,2,0,3,0%,0,1,0%,0,4,0%,0,0,0%,0,0,5,4,4,0,0,0,2,0,0,3,0%,0,0,
Logan Letourneau,4,1,6,17%,2,12,17%,3,18,17%,1,2,50%,9,0,1,7,1,0,0,0,0,0,0,1,23%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,5,24,21%,10,50,20%,15,74,20%,5,6,83%,45,7,13,28,12,1,0,1,8,0,0,27,29%,0,0,

HOME:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brock Carpenter ,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jimmy Warden ,7,3,5,60%,2,8,25%,5,13,38%,1,1,100%,13,1,1,6,4,1,0,0,1,0,0,13,48%,0,0,
Kaleb Swetty,4,5,14,36%,4,13,31%,9,27,33%,0,0,0%,22,4,2,8,0,0,1,1,2,0,0,17,40%,0,0,
Mark Nigolian,2,0,5,0%,0,0,0%,0,5,0%,0,0,0%,0,1,1,4,0,0,0,0,0,0,0,1,0%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tre Grubbs ,8,7,10,70%,3,4,75%,10,14,71%,0,0,0%,23,5,0,13,0,0,0,1,2,0,0,36,82%,0,1,
Trevis Buckhannon,1,10,17,59%,0,0,0%,10,17,59%,7,10,70%,27,1,9,12,0,0,0,1,0,0,0,40,63%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,25,51,49%,9,25,36%,34,76,45%,8,11,73%,85,12,13,43,4,1,1,3,5,0,0,107,52%,0,1,

