GAME STATS
BLACK vs. ORANGE
5/10/26, 8:00 AM
Regular Season

,1,2,OT1,Total
BLACK,34,48,6,88
ORANGE,48,34,7,89

VISITORS:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,3,6,50%,1,7,14%,4,13,31%,1,3,33%,10,2,2,5,1,0,0,0,2,0,0,6,34%,0,0,
Chris Cayole ,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,0,0%,5,11,45%,5,11,45%,0,0,0%,15,1,0,1,3,0,0,0,4,0,0,7,68%,0,0,
Denis Schut,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kenny Black ,8,4,12,33%,0,4,0%,4,16,25%,0,0,0%,8,3,5,8,2,0,0,1,0,0,0,13,25%,0,2,
Nate Merrill ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan ,7,10,19,53%,6,17,35%,16,36,44%,5,7,71%,43,5,6,17,3,4,0,0,0,0,0,53,55%,0,0,
Sub Nate,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tanner Freeman ,3,0,1,0%,4,6,67%,4,7,57%,0,0,0%,12,4,0,4,1,0,0,3,1,0,0,19,85%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,38,45%,16,45,36%,33,83,40%,6,10,60%,88,15,13,35,10,4,0,4,7,0,0,98,50%,0,2,

HOME:  ORANGE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cole Sampson,3,4,7,57%,3,9,33%,7,16,44%,0,0,0%,17,3,1,8,0,0,0,1,0,0,0,21,53%,0,0,
Eleizer Perez Jr. ,0,1,2,50%,1,1,100%,2,3,67%,0,0,0%,5,1,0,3,0,0,0,2,0,0,0,10,83%,0,0,
Jason West,5,1,3,33%,0,2,0%,1,5,20%,0,0,0%,2,4,3,9,2,1,0,1,2,0,0,14,20%,0,0,
Paul Gutierrez,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Timmy Ashley,4,1,6,17%,1,2,50%,2,8,25%,2,2,100%,7,1,0,2,0,0,0,0,0,0,0,4,39%,0,0,
Trent Roleau,8,13,18,72%,3,11,27%,16,29,55%,6,7,86%,41,1,7,5,5,0,0,0,1,0,0,39,63%,0,0,
Walker Storey,7,1,5,20%,1,7,14%,2,12,17%,0,0,0%,5,5,2,2,1,0,0,0,0,0,0,4,20%,0,0,
Will Oboh,2,3,11,27%,2,5,40%,5,16,31%,0,0,0%,12,7,2,7,1,0,0,0,5,0,0,12,37%,0,2,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,52,46%,11,37,30%,35,89,39%,8,9,89%,89,22,15,36,9,1,0,4,8,0,0,104,47%,0,2,

