GAME STATS
GRAY vs. RED
5/10/26, 12:00 PM
Regular Season

,1,2,Total
GRAY,27,34,61
RED,21,32,53

VISITORS:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,1,4,25%,1,4,25%,0,0,0%,3,1,1,1,2,0,0,0,1,0,0,2,37%,0,0,
Drew Fisher,3,0,4,0%,2,3,67%,2,7,29%,0,0,0%,6,1,0,3,1,0,0,1,1,0,0,5,42%,0,0,
Dylan Pratico ,1,2,3,67%,1,6,17%,3,9,33%,0,0,0%,7,3,0,3,1,0,0,1,0,0,0,8,38%,0,0,
Ethan Calle,2,1,2,50%,0,4,0%,1,6,17%,0,1,0%,2,0,3,2,1,1,0,0,3,0,0,-1,15%,0,0,
Kevin Garrison,5,1,6,17%,3,11,27%,4,17,24%,1,2,50%,12,8,1,15,1,0,0,5,4,0,0,23,33%,0,0,
Kyle DeCoster,4,4,8,50%,1,3,33%,5,11,45%,1,2,50%,12,0,1,7,2,0,0,1,3,0,0,11,50%,0,1,
Manny Robertson,8,5,6,83%,3,8,38%,8,14,57%,0,2,0%,19,0,2,5,0,0,0,2,2,0,0,18,63%,0,0,
Myles Robertson,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,29,45%,11,39,28%,24,68,35%,2,7,29%,61,13,8,36,8,1,0,10,14,0,0,66,42%,0,1,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Emin Kekic ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jibeil Abdullahi,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Josh Carter,7,2,7,29%,0,5,0%,2,12,17%,4,6,67%,8,4,1,6,3,0,0,4,2,0,0,9,27%,0,0,
Kolby Bradford,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Hogaboom,0,0,3,0%,0,0,0%,0,3,0%,0,0,0%,0,2,0,8,2,0,0,3,5,0,0,5,0%,0,0,
Logan Tobin,2,4,11,36%,2,6,33%,6,17,35%,0,0,0%,14,1,3,4,2,1,0,0,1,0,0,11,41%,0,0,
Sub Peter,00,9,16,56%,1,7,14%,10,23,43%,3,6,50%,24,0,3,6,0,1,0,2,0,0,0,20,46%,0,0,
Sub Picard,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,5,2,7,29%,1,7,14%,3,14,21%,0,0,0%,7,3,4,15,2,0,1,2,2,0,0,18,25%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,17,44,39%,4,25,16%,21,69,30%,7,12,58%,53,10,11,39,9,2,1,11,10,0,0,63,35%,0,1,

