GAME STATS
Grey vs. Purple
8/2/26, 9:05 AM
Regular Season

,1,2,Total
Grey,29,35,64
Purple,19,35,54

VISITORS:  Grey
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Aiden Brown,8,1,3,33%,0,3,0%,1,6,17%,0,2,0%,2,0,2,4,2,0,0,1,0,0,0,2,14%,0,0,
Chris Thomas,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cyle Chappy,2,0,0,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0,3,2,0,0,0,1,0,0,0,0%,0,1,
John Helsel,0,5,11,45%,0,0,0%,5,11,45%,0,2,0%,10,0,1,9,0,2,0,0,1,0,0,13,42%,0,0,
Kerry Lyons,4,4,4,100%,0,1,0%,4,5,80%,1,2,50%,9,1,0,8,3,0,0,0,2,0,0,14,76%,0,0,
Matt Spear,3,3,7,43%,1,5,20%,4,12,33%,10,15,67%,19,3,2,11,1,0,0,1,3,0,0,20,51%,0,2,
Sub Mahlik,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tommy Brockmyre,0,5,13,38%,2,6,33%,7,19,37%,8,9,89%,24,0,2,4,0,0,0,1,2,0,0,16,52%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,38,47%,3,17,18%,21,55,38%,19,30,63%,64,4,7,39,8,2,0,3,9,0,0,65,46%,0,3,

HOME:  Purple
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,7,0,0,0%,1,3,33%,1,3,33%,0,0,0%,3,1,0,1,6,0,0,0,1,0,0,2,50%,0,0,
Brody Snow,4,5,9,56%,0,1,0%,5,10,50%,0,0,0%,10,1,2,6,4,1,0,1,2,0,0,14,50%,0,0,
Dennis Schut,5,0,5,0%,2,12,17%,2,17,12%,1,2,50%,7,0,7,4,3,1,0,2,0,0,0,5,19%,0,0,
Drew Fisher,2,0,2,0%,1,5,20%,1,7,14%,0,0,0%,3,1,0,2,4,0,0,0,0,0,0,0,21%,0,0,
Dylan Pratico,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Ethan Calle,6,1,2,50%,0,2,0%,1,4,25%,0,0,0%,2,0,0,0,1,0,0,0,0,0,0,-1,25%,0,0,
Kevin Garrison,0,4,9,44%,4,12,33%,8,21,38%,2,4,50%,22,4,2,13,2,2,0,2,0,0,0,30,48%,0,1,
Logan Pelchar,3,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,-2,0%,0,0,
Sub Joe,00,2,2,100%,1,10,10%,3,12,25%,0,0,0%,7,0,0,4,1,0,0,0,0,0,0,2,29%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,12,30,40%,9,46,20%,21,76,28%,3,6,50%,54,7,11,30,21,4,0,5,3,0,0,50,34%,0,1,

