GAME STATS
Pink vs. Red
8/2/26, 8:03 AM
Regular Season

,1,2,Total
Pink,39,24,63
Red,28,23,51

VISITORS:  Pink
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Donnie Dwyer,2,5,11,45%,3,6,50%,8,17,47%,3,7,43%,22,6,1,12,1,0,0,0,6,0,0,22,54%,0,0,
Hans Lynn,7,0,4,0%,1,1,100%,1,5,20%,0,0,0%,3,0,1,2,3,0,0,0,0,0,0,2,30%,0,0,
Jeromy Anderson,0,3,8,38%,0,0,0%,3,8,38%,0,1,0%,6,2,4,4,2,0,0,0,1,0,0,9,35%,0,0,
Jerrick Jacobs,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Joe Luiz,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Obrien,5,2,4,50%,0,2,0%,2,6,33%,0,0,0%,4,1,0,2,1,0,0,0,1,0,0,2,33%,0,0,
Matt Riordan,1,8,11,73%,1,2,50%,9,13,69%,1,3,33%,20,6,3,11,1,1,0,4,5,0,0,34,69%,1,0,
Tavian Barrino,3,1,2,50%,2,7,29%,3,9,33%,0,0,0%,8,0,0,5,0,1,0,0,1,0,0,7,44%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,19,40,48%,7,18,39%,26,58,45%,4,11,36%,63,15,9,36,8,2,0,4,14,0,0,76,50%,1,0,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Chris Cayole,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jaren Jeffcoat,3,5,13,38%,0,4,0%,5,17,29%,3,4,75%,13,3,3,9,4,0,0,2,3,0,0,14,34%,0,0,
Jason West,5,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,2,1,2,1,0,0,2,0,0,0,5,0%,0,1,
Joel McMahon,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Suave,0,3,8,38%,0,4,0%,3,12,25%,4,6,67%,10,5,0,2,0,0,0,3,1,0,0,8,34%,0,0,
Sub Cole,00,2,2,100%,0,1,0%,2,3,67%,0,0,0%,4,0,0,1,1,0,0,0,1,0,0,3,66%,0,0,
Tim Lemieux,1,1,1,100%,1,1,100%,2,2,100%,0,0,0%,5,0,0,5,1,0,0,0,1,0,0,9,125%,0,0,
Timmy Ashley,6,0,4,0%,3,9,33%,3,13,23%,0,0,0%,9,0,2,2,3,0,0,0,0,0,0,3,34%,0,1,
Will Oboh,2,2,7,29%,2,7,29%,4,14,29%,0,0,0%,10,1,1,2,4,0,0,3,2,0,0,5,35%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,13,36,36%,6,27,22%,19,63,30%,7,10,70%,51,11,7,23,14,0,0,10,8,0,0,47,37%,0,2,

