GAME STATS
TAN vs. PURPLE
5/10/26, 10:00 AM
Regular Season

,1,2,Total
TAN,27,36,63
PURPLE,39,35,74

VISITORS:  TAN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown ,4,2,3,67%,1,7,14%,3,10,30%,3,4,75%,10,2,3,5,0,0,0,0,3,0,0,9,42%,0,1,
Brody Snow,2,4,5,80%,1,4,25%,5,9,56%,0,0,0%,11,2,1,2,2,0,0,1,0,0,0,13,61%,0,0,
Cory Chaplin ,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Devin Bradford ,0,1,3,33%,3,8,38%,4,11,36%,0,0,0%,11,1,1,4,1,0,0,0,3,0,0,7,50%,0,0,
Hakeem Faud ,7,6,13,46%,3,7,43%,9,20,45%,3,4,75%,24,3,1,8,2,0,0,1,4,0,0,21,55%,0,1,
Jeremy Franklin ,5,3,6,50%,0,6,0%,3,12,25%,1,2,50%,7,0,2,4,2,0,0,3,1,0,0,5,27%,0,0,
Kyle Picard,8,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Pelchar,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,2,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,16,30,53%,8,32,25%,24,62,39%,7,10,70%,63,9,8,23,9,0,0,5,11,0,0,56,47%,0,2,

HOME:  PURPLE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brandon Huestis ,3,5,9,56%,3,11,27%,8,20,40%,0,0,0%,19,2,2,1,3,0,0,0,2,0,0,10,47%,0,0,
Brock Carpenter ,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jimmy Warden ,7,7,9,78%,2,7,29%,9,16,56%,1,1,100%,21,3,2,3,1,0,0,2,3,0,0,21,63%,0,0,
Kaleb Swetty,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Mark Nigolian,2,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,0,1,2,2,0,0,0,0,0,0,1,0%,0,0,
Peter SUB,55,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stan,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tim Lemieux,5,1,3,33%,0,1,0%,1,4,25%,1,2,50%,3,2,6,4,2,1,0,0,1,0,0,11,30%,0,0,
Tre Grubbs ,8,3,8,38%,1,11,9%,4,19,21%,2,2,100%,11,4,1,9,1,0,0,4,4,0,0,10,27%,0,1,
Trevis Buckhannon,1,8,20,40%,1,2,50%,9,22,41%,1,2,50%,20,0,10,9,1,1,0,2,0,0,0,28,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,24,51,47%,7,32,22%,31,83,37%,5,7,71%,74,11,22,28,10,2,0,8,10,0,0,81,42%,0,1,

